cliente_id,idade,genero,regiao,tipo_contrato,metodo_pagamento,plano_assinatura,valor_mensal,tempo_assinatura_meses,dias_ultimo_acesso,acessibilidade,contatos_suporte,visualizacoes_mes,tempo_medio_sessao_min,dispositivo_principal,categoria_favorita,avaliacao_conteudo_media,avaliacao_conteudo_ultimo_mes,avaliacao_plataforma,churn
CLI_000081,35,,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,26,61,0,1,0,56,Mobile,Filmes,"2,5",,,1
CLI_000082,42,,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,48,39,0,2,0,5,Desktop,Filmes,"2,0",,,1
CLI_000083,57,,Sul,Mensal,Crédito Recorrente,Básico,24.9,5,12,0,1,67,60,mobile,Filmes,"4,0","5,0","4,0",0
CLI_000084,31,Feminino,Centro-Oeste,Mensal,Débito,Básico,24.9,9,58,0,2,0,32,TV,Filmes,"2,5",,,1
CLI_000085,27,Masculino,Sudeste,Mensal,Pix,Básico,24.9,2,18,0,2,7,5,Tablet,Filmes,"2,0",,"2,0",1
CLI_000086,31,Feminino,Sul,Anual,Crédito Recorrente,Premium,38.0,13,39,0,1,0,87,TV,Filmes,"2,5",,"4,0",0
CLI_000087,49,Não Informar,Nordeste,Mensal,Crédito Recorrente,Premium,49.9,26,2,0,0,65,40,Tablet,Séries,"4,0",,,0
CLI_000088,42,Masculino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,41,14,0,1,57,87,Mobile,Filmes,"4,0",,"1,5",0
CLI_000089,31,Masculino,Sudeste,Mensal,Pix,Padrão,38.0,7,22,0,1,14,110,Tablet,Documentários,,"5,0","3,5",0
CLI_000090,44,Masculino,Nordeste,Mensal,Crédito Recorrente,Básico,24.9,32,33,1,2,0,144,Mobile,Séries,,,"3,0",0
CLI_000091,39,Masculino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,0,1,0,1,52,169,tv,Novelas,,"4,0","4,5",0
CLI_000092,50,Não Informar,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,21,33,0,1,0,10,tv,Séries,"2,0",,"3,0",1
CLI_000093,28,Feminino,Centro-Oeste,Mensal,Crédito Recorrente,Básico,24.9,9,14,0,2,16,43,tv,Filmes,"2,5",,"3,0",1
CLI_000094,33,Masculino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,48,8,0,1,58,63,TV,Documentários,"3,5","5,0","4,0",0
CLI_000095,32,Feminino,Norte,Mensal,Boleto,Básico,24.9,4,18,0,3,12,32,Tablet,Infantil,"3,5","1,0",,1
CLI_000096,18,Não Informar,Sudeste,Anual,Crédito Recorrente,Premium,38.0,1,19,0,0,25,81,mobile,Séries,,"4,5","4,5",0
CLI_000097,41,Masculino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,13,31,0,2,0,105,tv,Esportes,"4,0",,"4,5",0
CLI_000098,41,Masculino,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,7,71,0,0,0,40,Mobile,Séries,"2,0",,"4,5",1
CLI_000099,38,Masculino,Sudeste,Mensal,Boleto,Básico,24.9,10,23,0,2,3,42,Tablet,Séries,"2,0","1,5","3,5",1
CLI_000100,34,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,1,25,0,2,10,104,mobile,Filmes,,"3,0","2,0",0
CLI_000101,19,Masculino,Centro-Oeste,Mensal,Crédito Recorrente,Premium,49.9,20,35,0,2,0,115,tv,Documentários,"4,0",,"4,0",0
CLI_000102,32,Masculino,Nordeste,Anual,Crédito Recorrente,Básico,22.0,3,10,0,2,79,141,TV,Infantil,,"3,0","4,0",0
CLI_000103,33,Não Informar,Sudeste,Mensal,Débito,Básico,24.9,3,13,0,1,52,123,tv,Séries,,"4,0","1,5",0
CLI_000104,27,Masculino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,4,62,0,1,0,124,Desktop,Documentários,"5,0",,"1,0",0
CLI_000105,35,Masculino,Sul,Mensal,Cartão de Crédito,Padrão,38.0,2,40,0,2,0,5,tv,Documentários,"3,5",,"2,5",1
CLI_000106,43,,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,6,46,0,1,0,30,TV,Filmes,"2,0",,"4,5",1
CLI_000107,62,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,1,5,0,3,72,85,TV,Documentários,,"4,5","2,0",0
CLI_000108,40,Masculino,Sul,Anual,Crédito Recorrente,Premium,38.0,2,26,0,2,12,127,Desktop,Novelas,,,"3,5",0
CLI_000109,41,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,9,23,0,2,14,60,tv,Filmes,,,"4,0",0
CLI_000110,37,,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,6,16,0,3,67,74,Desktop,Séries,"4,5",,"3,5",0
CLI_000111,18,Masculino,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,2,29,0,3,3,48,TV,Séries,"2,0","2,0","3,5",1
CLI_000112,37,Feminino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,3,22,0,3,1,14,mobile,Novelas,"1,5",,,1
CLI_000113,38,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,13,21,0,1,6,74,TV,Séries,,"4,5",,0
CLI_000114,70,Masculino,Nordeste,Anual,Crédito Recorrente,Premium,38.0,12,29,1,3,10,40,tv,Esportes,"4,0","3,0","1,0",0
CLI_000115,35,Masculino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,2,42,0,0,0,20,Desktop,Novelas,"2,0",,"5,0",1
CLI_000116,41,Feminino,Nordeste,Anual,Crédito Recorrente,Padrão,32.0,1,24,0,1,12,64,Desktop,Séries,,"4,5","5,0",0
CLI_000117,37,Feminino,Sul,Anual,Crédito Recorrente,Padrão,32.0,6,23,0,0,9,93,TV,Esportes,"4,0","4,0","4,0",0
CLI_000118,22,Masculino,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,4,8,0,1,66,125,TV,Filmes,"4,0",,"2,0",0
CLI_000119,52,Masculino,Sudeste,Mensal,Boleto,Padrão,38.0,3,37,0,1,0,15,Tablet,Séries,"1,5",,"2,5",1
CLI_000120,47,Masculino,Norte,Mensal,Pix,Padrão,38.0,17,32,0,1,0,151,Tablet,Séries,,,,0
CLI_000121,48,,Sudeste,Anual,Crédito Recorrente,Básico,22.0,5,21,0,2,19,97,tv,Esportes,"4,0",,,0
CLI_000122,26,Feminino,Sul,Anual,Crédito Recorrente,Padrão,32.0,3,45,0,1,0,139,Mobile,Filmes,"5,0",,"5,0",0
CLI_000123,56,Masculino,Sul,Anual,Crédito Recorrente,Padrão,32.0,2,23,0,1,9,135,Mobile,Séries,"3,0",,"4,0",0
CLI_000124,19,,Sul,Mensal,Cartão de Crédito,Padrão,38.0,17,13,0,2,16,79,Mobile,Infantil,"1,5",,"2,5",0
CLI_000125,45,,Centro-Oeste,Mensal,Crédito Recorrente,Padrão,38.0,0,0,0,2,13,5,tv,Séries,,,"1,5",1
CLI_000126,66,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,4,28,0,3,15,126,tv,Documentários,"4,0","5,0","1,0",0
CLI_000127,25,Masculino,Sul,Mensal,Crédito Recorrente,Básico,24.9,19,45,0,1,0,5,mobile,Novelas,,,"4,0",1
CLI_000128,30,Masculino,Sul,Mensal,Crédito Recorrente,Básico,24.9,48,26,0,3,1,5,TV,Séries,"2,0","1,5",,1
CLI_000129,39,Masculino,Sudeste,Mensal,Crédito Recorrente,Premium,49.9,0,0,1,2,43,53,Desktop,Séries,,,"3,0",0
CLI_000130,31,Masculino,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,8,37,0,2,0,212,tv,Documentários,"4,5",,"2,0",0
CLI_000131,18,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,20,27,0,1,13,51,Mobile,Séries,"3,5",,"1,5",0
CLI_000132,38,Masculino,Sul,Mensal,Débito,Básico,24.9,8,26,0,0,17,26,TV,Infantil,"4,0","4,5","1,0",0
CLI_000133,24,Masculino,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,24,10,0,4,38,18,Desktop,Séries,,,"4,5",0
CLI_000134,44,,Nordeste,Anual,Crédito Recorrente,Padrão,32.0,15,9,0,4,104,78,Desktop,Filmes,,"4,0","4,5",0
CLI_000135,26,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,13,53,0,1,0,94,Mobile,Séries,"5,0",,"2,0",0
CLI_000136,58,Feminino,Sul,Mensal,Crédito Recorrente,Premium,49.9,0,1,0,0,46,48,Mobile,Filmes,,,,0
CLI_000137,27,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,6,34,0,0,0,109,Desktop,Esportes,"4,5",,"1,0",0
CLI_000138,33,Feminino,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,2,40,0,0,0,26,Tablet,Filmes,,,"3,5",1
CLI_000139,48,,Sudeste,Mensal,Pix,Básico,24.9,21,29,0,2,8,92,Tablet,Séries,,"5,0","5,0",0
CLI_000140,21,Masculino,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,18,20,0,0,60,170,mobile,Esportes,,,"2,5",0
CLI_000141,40,Outros,Sul,Anual,Crédito Recorrente,Padrão,32.0,2,8,0,3,36,148,Tablet,Filmes,"5,0","4,0","1,5",0
CLI_000142,54,Não Informar,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,1,12,0,1,60,88,mobile,Infantil,,"4,5","2,5",0
CLI_000143,18,Feminino,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,11,26,0,1,17,42,TV,Filmes,"5,0","4,5","5,0",0
CLI_000144,40,Feminino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,8,17,0,0,89,127,Mobile,Séries,"4,0","4,0",,0
CLI_000145,41,Masculino,Sudeste,Mensal,Boleto,Premium,49.9,27,82,0,1,0,24,Desktop,Esportes,"1,5",,"4,0",1
CLI_000146,48,Feminino,Nordeste,Mensal,Débito,Padrão,38.0,9,29,0,0,0,11,Desktop,Esportes,"1,5",,"1,5",1
CLI_000147,21,Outros,Sudeste,Anual,Crédito Recorrente,Premium,38.0,3,27,0,2,2,104,Tablet,Filmes,"4,0","5,0","4,0",0
CLI_000148,20,Masculino,Sudeste,Mensal,Pix,Básico,24.9,0,1,0,0,65,48,TV,Infantil,,,"5,0",0
CLI_000149,44,Masculino,Sul,Mensal,Débito Automático,Básico,24.9,24,6,0,1,63,49,Tablet,Documentários,"4,0","4,5","5,0",0
CLI_000150,41,Outros,Centro-Oeste,Anual,Crédito Recorrente,Premium,38.0,34,20,0,0,45,112,TV,Esportes,"3,5",,"3,0",0
CLI_000151,41,,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,5,19,0,1,46,34,Desktop,Filmes,"4,0",,"1,0",0
CLI_000152,42,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,9,30,0,1,16,81,TV,Filmes,"3,5","3,0",,0
CLI_000153,29,,Norte,Mensal,Pix,Básico,24.9,8,43,1,0,0,28,tv,Documentários,"2,0",,"5,0",1
CLI_000154,41,,Sul,Anual,Crédito Recorrente,Padrão,32.0,9,15,0,0,47,36,mobile,Esportes,"4,0",,"4,5",0
CLI_000155,41,Masculino,Sudeste,Mensal,Pix,Básico,24.9,21,47,0,2,0,13,Tablet,Filmes,"2,0",,"5,0",1
CLI_000156,28,Não Informar,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,37,60,0,1,0,111,tv,Séries,"3,5",,"4,5",0
CLI_000157,62,Não Informar,Sul,Mensal,Crédito Recorrente,Básico,24.9,5,16,0,1,81,30,TV,Esportes,"4,0",,"4,5",0
CLI_000158,44,Feminino,Sudeste,Mensal,Boleto,Básico,24.9,7,73,0,0,0,34,tv,Esportes,,,"2,5",1
CLI_000159,22,Feminino,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,2,6,0,1,55,14,Mobile,Esportes,,"3,0","2,0",0
CLI_000160,46,,Sul,Anual,Crédito Recorrente,Básico,22.0,34,50,0,0,0,71,tv,Documentários,"4,0",,"4,5",0
CLI_000161,25,Masculino,Nordeste,Mensal,Pix,Básico,24.9,2,14,0,0,104,99,Mobile,Esportes,,"4,5","1,5",0
CLI_000162,48,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,48,36,0,0,0,178,Tablet,Infantil,"4,0",,"2,5",0
CLI_000163,53,,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,15,17,0,2,55,98,Tablet,Novelas,"4,0",,,0
CLI_000164,27,Masculino,Centro-Oeste,Anual,Crédito Recorrente,Premium,38.0,2,31,0,0,0,113,mobile,Filmes,"3,0",,"1,0",0
CLI_000165,50,Outros,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,9,9,0,1,33,41,Desktop,Filmes,"4,0",,,0
CLI_000166,43,Masculino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,5,40,0,1,0,51,Tablet,Séries,"2,0",,"2,0",1
CLI_000167,48,Não Informar,Norte,Mensal,Débito,Básico,24.9,8,30,0,2,3,9,tv,Documentários,"2,0","2,0","3,0",1
CLI_000168,62,Feminino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,5,15,0,0,56,167,tv,Filmes,"4,0","4,0","5,0",0
CLI_000169,34,Feminino,Centro-Oeste,Mensal,Crédito Recorrente,Básico,24.9,17,1,0,5,64,109,mobile,Novelas,"3,5","5,0","1,0",0
CLI_000170,28,Outros,Nordeste,Anual,Crédito Recorrente,Premium,38.0,43,21,0,0,21,94,mobile,Séries,,"3,0",,0
CLI_000171,26,Feminino,Sul,Anual,Crédito Recorrente,Premium,38.0,4,24,0,0,14,64,mobile,Esportes,,,"3,5",0
CLI_000172,27,Masculino,Nordeste,Mensal,Débito Automático,Padrão,38.0,0,0,0,2,78,110,tv,Séries,,,"4,5",0
CLI_000173,36,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,1,6,0,2,33,62,mobile,Filmes,,,"5,0",0
CLI_000174,42,Masculino,Nordeste,Mensal,Débito,Padrão,38.0,19,37,0,2,0,56,mobile,Filmes,"2,0",,"3,5",1
CLI_000175,41,Masculino,Nordeste,Anual,Crédito Recorrente,Padrão,32.0,5,84,0,1,0,145,tv,Documentários,,,,0
CLI_000176,48,Masculino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,2,37,0,1,0,112,Mobile,Filmes,"4,0",,"1,0",0
CLI_000177,38,Não Informar,Sul,Mensal,Débito,Básico,24.9,28,8,0,5,80,67,tv,Filmes,,,"2,5",0
CLI_000178,56,Feminino,Centro-Oeste,Mensal,Crédito Recorrente,Padrão,38.0,1,27,0,0,5,137,Desktop,Séries,,"4,0","1,5",0
CLI_000179,34,Feminino,Norte,Mensal,Crédito Recorrente,Básico,24.9,26,18,0,1,70,104,Desktop,Filmes,"4,5",,"3,0",0
CLI_000180,73,Feminino,Norte,Anual,Crédito Recorrente,Padrão,32.0,15,24,0,0,16,121,tv,Documentários,,,,0
CLI_000181,46,Masculino,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,0,1,0,2,34,59,tv,Infantil,,"3,0","2,5",0
CLI_000182,26,Masculino,Sudeste,Anual,Crédito Recorrente,Básico,22.0,13,38,0,1,0,72,Mobile,Filmes,"2,5",,,0
CLI_000183,24,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,7,49,0,1,0,124,mobile,Séries,"4,0",,"1,5",0
CLI_000184,44,Feminino,Nordeste,Anual,Crédito Recorrente,Premium,38.0,8,19,0,1,82,91,TV,Filmes,,"3,5","1,0",0
CLI_000185,35,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,2,22,0,3,4,29,Desktop,Filmes,,,"2,5",1
