cliente_id,churn,idade,genero,regiao,tipo_contrato,metodo_pagamento,plano_assinatura,valor_mensal,tempo_assinatura_meses,dias_ultimo_acesso,acessibilidade,contatos_suporte,visualizacoes_mes,tempo_medio_sessao_min,dispositivo_principal,categoria_favorita,avaliacao_conteudo_media,avaliacao_conteudo_ultimo_mes,avaliacao_plataforma
41,1,70,Feminino,Sul,Mensal,Cartão de Crédito,Padrão,44.9,10,3,0,7,2,22.2,Desktop,Infantil,,4.5,3.0
42,1,28,Feminino,Centro-Oeste,Mensal,Cartão de Crédito,Premium,59.9,9,4,0,3,16,16.8,Desktop,Séries,3.0,,3.5
43,0,38,,Nordeste,Anual,Crédito Recorrente,Premium,48.9,9,2,0,0,44,30.5,Desktop,Filmes,1.5,,3.5
44,0,34,Feminino,Sul,Anual,Crédito Recorrente,Premium,48.9,5,2,0,0,48,18.8,Mobile,Infantil,3.5,3.0,
45,0,41,Masculino,Centro-Oeste,Mensal,Crédito Recorrente,Básico,20.9,3,5,0,0,51,43.2,TV,Infantil,3.5,4.0,4.0
46,1,37,Masculino,Nordeste,Mensal,Cartão de Crédito,Básico,20.9,18,7,0,0,2,15.8,Desktop,Novelas,2.5,,3.0
47,0,29,Masculino,Centro-Oeste,Anual,Crédito Recorrente,Padrão,38.9,29,2,0,1,23,42.1,Desktop,Documentários,4.0,,4.0
48,1,35,Feminino,Nordeste,Mensal,Crédito Recorrente,Básico,20.9,9,6,0,0,12,23.6,Tablet,Infantil,,3.0,
49,0,53,Feminino,Nordeste,Mensal,Crédito Recorrente,Premium,59.9,20,1,0,0,29,26.9,TV,Séries,,3.5,
50,0,29,Masculino,Sul,Mensal,Crédito Recorrente,Premium,59.9,29,3,0,0,18,56.3,Mobile,Infantil,,,3.5
51,0,50,Masculino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,14,5,0,1,15,18.7,TV,Filmes,4.0,4.0,4.5
52,1,72,Masculino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,16,9,0,5,2,5.8,TV,Novelas,4.0,2.0,
53,0,39,Masculino,Nordeste,Anual,Crédito Recorrente,Básico,18.9,4,6,0,0,14,16.8,Mobile,Infantil,,3.5,
54,0,30,Masculino,Sudeste,Anual,Crédito Recorrente,Básico,18.9,15,5,0,1,20,18.9,Mobile,Séries,,3.5,
55,0,40,Feminino,Nordeste,Mensal,Cartão de Crédito,Premium,59.9,28,4,0,1,32,31.6,Tablet,Séries,4.0,3.5,
56,0,31,Masculino,Centro-Oeste,Mensal,Cartão de Crédito,Premium,59.9,17,7,1,4,33,22.5,Desktop,Infantil,,,2.0
57,0,28,Masculino,Sul,Mensal,Débito Automático,Padrão,44.9,18,9,0,5,29,25.4,Tablet,Séries,2.5,,
58,0,79,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,48.9,22,6,1,0,3,18.6,TV,Esportes,4.0,3.0,2.5
59,0,30,Feminino,Sudeste,Mensal,Boleto,Padrão,44.9,8,5,0,1,23,20.5,Desktop,Infantil,3.0,4.0,
60,0,65,,Norte,Mensal,Débito Automático,Padrão,44.9,7,8,0,1,26,23.5,TV,Documentários,3.0,2.5,
61,0,30,Feminino,Sul,Mensal,Cartão de Crédito,Premium,59.9,0,3,0,0,63,33.5,Desktop,Séries,2.5,4.5,3.5
62,0,65,Feminino,Centro-Oeste,Mensal,Débito Automático,Padrão,44.9,26,9,0,3,31,44.4,Mobile,Documentários,3.0,,4.5
63,0,38,Feminino,Nordeste,Anual,Crédito Recorrente,Premium,48.9,0,5,0,1,50,31.6,Desktop,Infantil,4.5,4.0,2.5
64,0,45,Outros,Sudeste,Mensal,Pix,Básico,20.9,22,10,0,0,40,16.7,Desktop,Esportes,,2.5,
65,0,46,Masculino,Sudeste,Mensal,Crédito Recorrente,Premium,59.9,23,7,0,1,42,33.2,Mobile,Esportes,3.0,,
66,0,31,Masculino,Sul,Anual,Crédito Recorrente,Básico,18.9,11,12,0,0,5,37.7,Desktop,Esportes,,,4.5
67,0,48,Masculino,Sul,Mensal,Crédito Recorrente,Padrão,44.9,1,5,0,1,26,32.0,Desktop,Esportes,,,4.0
68,0,25,Masculino,Nordeste,Mensal,Crédito Recorrente,Premium,59.9,11,13,0,1,16,19.2,Tablet,Séries,,,3.5
69,1,39,Feminino,Nordeste,Anual,Crédito Recorrente,Básico,18.9,5,5,0,0,1,17.8,TV,Séries,3.0,,
70,0,23,Masculino,Sudeste,Mensal,Débito Automático,Básico,20.9,9,7,0,0,3,46.0,TV,Filmes,3.0,,
71,1,24,Masculino,Sudeste,Mensal,Crédito Recorrente,Básico,20.9,8,6,0,18,3,32.6,Desktop,Séries,2.5,4.0,4.5
72,0,27,,Sul,Mensal,Cartão de Crédito,Padrão,44.9,16,12,0,0,2,30.8,TV,Novelas,5.0,,3.5
73,0,29,Masculino,Nordeste,Mensal,Cartão de Crédito,Premium,59.9,13,11,0,0,20,33.3,Tablet,Filmes,4.0,2.0,2.5
74,0,28,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,48.9,25,1,0,0,23,19.8,Mobile,Documentários,2.0,,
75,0,42,,Norte,Anual,Crédito Recorrente,Padrão,38.9,4,3,0,6,4,6.5,TV,Séries,2.5,4.0,3.0
76,0,57,Masculino,Sudeste,Mensal,Débito Automático,Básico,20.9,23,7,0,1,19,22.2,Desktop,Novelas,4.0,4.5,4.5
77,1,27,Feminino,Sudeste,Mensal,Crédito Recorrente,Padrão,44.9,20,5,0,1,31,30.0,TV,Documentários,,,3.0
78,0,22,Masculino,Centro-Oeste,Mensal,Crédito Recorrente,Padrão,44.9,14,4,0,1,6,5.0,Mobile,Filmes,3.5,3.0,
79,1,23,,Sudeste,Anual,Crédito Recorrente,Premium,48.9,23,3,0,0,5,9.6,Desktop,Séries,,,4.0
80,0,29,Masculino,Nordeste,Mensal,Crédito Recorrente,Padrão,44.9,8,4,0,2,47,29.1,Tablet,Séries,3.5,4.5,4.0
81,0,28,Feminino,Sul,Anual,Crédito Recorrente,Premium,48.9,1,6,0,0,26,23.8,Mobile,Infantil,4.0,5.0,1.0
82,0,26,Masculino,Sul,Anual,Crédito Recorrente,Premium,48.9,13,11,0,6,26,36.7,Mobile,Filmes,4.0,,2.0
83,1,50,Prefiro Não Informar,Nordeste,Anual,Crédito Recorrente,Padrão,38.9,11,8,0,0,27,5.4,TV,Esportes,4.0,4.0,5.0
84,1,29,,Sudeste,Mensal,Crédito Recorrente,Básico,20.9,2,6,1,1,1,5.0,TV,Infantil,4.0,,4.5
85,0,29,Masculino,Centro-Oeste,Anual,Crédito Recorrente,Padrão,38.9,1,12,0,1,9,32.7,TV,Séries,5.0,3.0,2.0
86,0,70,Masculino,Norte,Mensal,Pix,Padrão,44.9,33,10,1,1,35,9.1,TV,Esportes,,3.5,5.0
87,0,38,Masculino,Norte,Mensal,Débito Automático,Padrão,44.9,26,8,0,2,15,26.3,Tablet,Novelas,4.5,1.5,
88,0,42,Feminino,Nordeste,Mensal,Débito Automático,Padrão,44.9,16,6,0,0,29,16.6,Tablet,Séries,,3.0,
89,0,37,Masculino,Sudeste,Mensal,Pix,Básico,20.9,5,3,0,0,59,50.1,Tablet,Séries,,3.5,
90,0,58,Feminino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,6,4,0,0,2,5.0,Desktop,Novelas,,,3.5
91,0,69,Feminino,Sudeste,Mensal,Cartão de Crédito,Premium,59.9,17,4,0,6,21,35.1,Desktop,Documentários,4.0,,4.0
92,1,42,Feminino,Norte,Anual,Crédito Recorrente,Padrão,38.9,11,6,0,1,7,33.2,Desktop,Séries,2.0,,
93,1,43,,Norte,Mensal,Débito Automático,Padrão,44.9,2,9,0,1,19,27.0,Mobile,Séries,3.5,,3.0
94,0,50,Feminino,Nordeste,Mensal,Boleto,Básico,20.9,23,7,0,1,32,26.5,Tablet,Séries,,4.0,4.0
95,1,32,Feminino,Nordeste,Mensal,Cartão de Crédito,Básico,20.9,10,17,0,8,31,26.4,Tablet,Séries,,,3.0
96,0,71,Masculino,Nordeste,Mensal,Cartão de Crédito,Padrão,44.9,10,2,0,2,49,22.5,TV,Filmes,2.5,4.0,
97,0,34,Masculino,Nordeste,Anual,Crédito Recorrente,Básico,18.9,9,4,1,1,24,32.2,Mobile,Séries,3.0,,4.0
98,0,58,Feminino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,14,4,0,1,13,19.3,TV,Novelas,4.5,3.5,
99,0,38,Feminino,Sul,Mensal,Pix,Padrão,44.9,28,14,0,0,9,19.2,TV,Novelas,3.5,2.5,
100,0,39,Masculino,Sul,Mensal,Débito Automático,Premium,59.9,29,3,1,1,71,39.2,Tablet,Novelas,2.0,,
101,0,30,Feminino,Sudeste,Mensal,Crédito Recorrente,Padrão,44.9,27,3,0,3,53,46.3,TV,Filmes,5.0,3.0,
102,0,37,Feminino,Nordeste,Mensal,Cartão de Crédito,Padrão,44.9,7,3,0,0,60,23.6,Mobile,Documentários,,,
103,0,26,Masculino,Sudeste,Mensal,Crédito Recorrente,Premium,59.9,14,6,0,3,12,31.7,Desktop,Filmes,4.5,,5.0
104,0,81,Masculino,Nordeste,Anual,Crédito Recorrente,Básico,18.9,8,1,0,0,2,43.7,Desktop,Infantil,4.0,,3.5
105,0,52,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,48.9,4,2,0,2,27,34.5,TV,Séries,4.0,3.5,
106,0,24,Masculino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,18,9,0,2,46,19.4,Desktop,Séries,,,
107,1,20,Feminino,Nordeste,Mensal,Cartão de Crédito,Padrão,44.9,8,7,0,7,21,17.9,TV,Filmes,3.5,2.5,4.0
108,0,25,Feminino,Sudeste,Mensal,Pix,Premium,59.9,1,6,0,0,11,6.7,Tablet,Séries,2.0,,3.0
109,1,41,Masculino,Sul,Mensal,Pix,Básico,20.9,10,10,0,0,6,5.0,Mobile,Infantil,3.5,3.5,
110,1,28,Feminino,Sudeste,Anual,Crédito Recorrente,Básico,18.9,19,6,0,3,35,42.1,TV,Infantil,4.5,3.5,3.5
111,1,35,,Sul,Mensal,Pix,Padrão,44.9,1,8,0,1,8,33.0,TV,Séries,,,
112,0,39,,Sudeste,Mensal,Crédito Recorrente,Padrão,44.9,8,1,0,1,2,11.6,TV,Filmes,3.5,,
113,0,29,Feminino,Nordeste,Anual,Crédito Recorrente,Premium,48.9,7,2,0,0,11,14.7,Mobile,Infantil,,,4.5
114,0,40,Masculino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,9,5,0,8,19,28.1,Desktop,Séries,4.0,,
115,1,32,Masculino,Sudeste,Mensal,Débito,Padrão,44.9,12,2,0,1,22,40.8,Mobile,Séries,,2.0,3.0
116,0,43,Masculino,Norte,Anual,Crédito Recorrente,Básico,18.9,28,6,0,1,27,32.8,TV,Infantil,3.0,2.0,
117,0,34,Feminino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,1,5,0,2,7,17.6,Mobile,Séries,,,
118,1,29,,Sul,Anual,Crédito Recorrente,Padrão,38.9,29,5,0,0,16,26.7,Tablet,Infantil,3.5,5.0,4.5
119,0,77,Masculino,Nordeste,Mensal,Pix,Padrão,44.9,19,2,0,1,43,22.5,TV,Novelas,4.5,,4.5
120,1,35,Masculino,Nordeste,Mensal,Pix,Padrão,44.9,22,9,0,0,21,28.7,Mobile,Filmes,,2.0,3.5
121,0,47,Masculino,Norte,Mensal,Débito,Padrão,44.9,5,8,0,1,41,26.4,Desktop,Séries,1.5,3.0,4.5
122,1,42,Feminino,Nordeste,Mensal,Pix,Básico,20.9,5,10,0,3,34,37.6,Mobile,Filmes,4.0,,3.5
123,0,81,Feminino,Nordeste,Anual,Crédito Recorrente,Premium,48.9,11,12,0,0,48,34.7,Mobile,Documentários,4.0,,3.0
124,1,38,Masculino,Nordeste,Mensal,Crédito Recorrente,Padrão,44.9,29,4,1,1,4,28.2,Mobile,Filmes,4.0,2.0,4.5
125,0,34,Feminino,Sul,Anual,Crédito Recorrente,Padrão,38.9,10,3,0,0,1,19.7,TV,Novelas,,3.5,3.5
126,0,32,Feminino,Nordeste,Mensal,Cartão de Crédito,Básico,20.9,0,8,0,0,25,27.8,Mobile,Infantil,4.5,,4.0
127,0,39,Feminino,Sudeste,Mensal,Crédito Recorrente,Padrão,44.9,0,6,0,2,19,15.0,TV,Documentários,4.5,4.5,
128,0,47,Masculino,Centro-Oeste,Mensal,Pix,Padrão,44.9,11,2,0,1,39,36.5,Desktop,Filmes,,3.5,4.0
129,0,36,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,20.9,10,15,0,2,41,30.2,Mobile,Séries,2.0,3.0,
130,0,49,Feminino,Centro-Oeste,Mensal,Cartão de Crédito,Premium,59.9,0,14,0,2,46,24.5,TV,Documentários,,,3.0
131,0,42,Feminino,Sul,Mensal,Crédito Recorrente,Padrão,44.9,14,6,1,0,39,53.8,Tablet,Documentários,3.5,4.0,
132,0,49,Masculino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,25,5,0,1,17,50.6,TV,Séries,4.5,3.5,
133,0,29,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,48.9,11,3,0,0,27,22.3,Desktop,Esportes,2.0,,
134,0,41,Feminino,Nordeste,Mensal,Débito Automático,Premium,59.9,24,4,0,9,26,20.1,Desktop,Séries,4.5,5.0,1.0
135,1,64,Masculino,Sudeste,Mensal,Pix,Padrão,44.9,18,9,1,1,7,6.3,TV,Séries,,4.0,4.0
136,0,41,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,20.9,1,11,0,0,12,21.8,Mobile,Séries,4.0,4.0,4.0
137,0,36,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,48.9,2,2,0,6,10,22.2,Tablet,Filmes,,3.5,4.5
138,0,25,Masculino,Nordeste,Mensal,Crédito Recorrente,Básico,20.9,21,16,1,0,59,54.1,Desktop,Séries,,4.0,1.5
139,0,32,Masculino,Norte,Mensal,Cartão de Crédito,Premium,59.9,33,8,0,2,20,29.6,Tablet,Séries,,,
140,0,36,,Nordeste,Mensal,Crédito Recorrente,Padrão,44.9,2,5,0,4,3,34.3,TV,Filmes,1.0,4.0,2.5
141,0,52,Masculino,Nordeste,Mensal,Crédito Recorrente,Padrão,44.9,33,7,0,1,1,13.0,Mobile,Documentários,4.0,,4.5
142,0,23,Masculino,Sul,Mensal,Cartão de Crédito,Padrão,44.9,15,18,0,0,42,30.1,TV,Esportes,4.0,,4.0
143,0,60,Masculino,Sul,Anual,Crédito Recorrente,Premium,48.9,13,6,1,0,28,35.8,Desktop,Documentários,2.0,4.5,4.0
144,0,29,Masculino,Nordeste,Mensal,Crédito Recorrente,Padrão,44.9,24,2,1,2,17,9.8,Mobile,Séries,,3.5,4.0
145,0,35,Masculino,Sudeste,Mensal,Boleto,Padrão,44.9,25,8,0,1,37,32.3,Desktop,Séries,4.5,,
146,0,44,Feminino,Sul,Anual,Crédito Recorrente,Premium,48.9,27,10,1,0,51,22.1,TV,Infantil,5.0,2.5,
147,0,27,Feminino,Centro-Oeste,Mensal,Crédito Recorrente,Padrão,44.9,2,3,1,2,69,57.3,TV,Séries,4.0,4.0,2.5
148,0,47,Masculino,Sudeste,Mensal,Boleto,Básico,20.9,18,1,0,0,32,30.5,Mobile,Documentários,,4.0,3.5
149,1,28,Masculino,Centro-Oeste,Mensal,Crédito Recorrente,Premium,59.9,14,8,0,0,20,34.3,Mobile,Infantil,2.0,,
150,0,41,Feminino,Sudeste,Mensal,Débito Automático,Básico,20.9,1,5,0,0,37,14.0,TV,Novelas,4.0,3.5,4.0
151,0,42,Feminino,Nordeste,Mensal,Débito,Básico,20.9,1,11,0,2,34,30.3,Desktop,Séries,5.0,,
152,0,50,Feminino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,8,7,0,0,5,11.9,Tablet,Séries,3.0,1.0,4.5
153,1,23,Feminino,Sul,Mensal,Débito Automático,Premium,59.9,6,5,0,0,45,20.1,TV,Documentários,2.0,4.0,4.0
154,0,42,Feminino,Sudeste,Mensal,Boleto,Padrão,44.9,1,5,0,1,27,31.2,TV,Infantil,,3.5,
155,0,29,Feminino,Norte,Anual,Crédito Recorrente,Básico,18.9,16,17,0,0,26,23.4,Tablet,Novelas,4.5,4.5,3.5
156,1,31,Feminino,Sudeste,Mensal,Débito Automático,Padrão,44.9,7,22,0,0,10,34.9,Desktop,Infantil,2.5,1.0,
157,0,25,Feminino,Nordeste,Anual,Crédito Recorrente,Padrão,38.9,17,4,0,2,24,22.4,Mobile,Documentários,4.5,1.0,4.0
158,0,24,Feminino,Centro-Oeste,Mensal,Pix,Padrão,44.9,6,3,0,1,30,35.9,Desktop,Séries,,2.5,
159,0,28,,Sul,Mensal,Débito Automático,Padrão,44.9,12,1,0,1,23,22.7,Mobile,Séries,,,3.5
160,1,53,Feminino,Centro-Oeste,Anual,Crédito Recorrente,Padrão,38.9,32,4,0,0,23,22.6,Mobile,Documentários,,4.5,4.0
161,0,58,Masculino,Nordeste,Mensal,Débito Automático,Básico,20.9,13,13,0,2,6,29.9,Desktop,Filmes,2.0,2.5,
162,0,60,Feminino,Centro-Oeste,Anual,Crédito Recorrente,Premium,48.9,13,8,0,4,49,24.0,Desktop,Novelas,4.0,3.5,3.5
163,0,46,Masculino,Centro-Oeste,Mensal,Pix,Padrão,44.9,10,3,0,0,43,21.1,TV,Filmes,4.0,,3.5
164,0,27,Feminino,Nordeste,Mensal,Crédito Recorrente,Premium,59.9,16,11,0,0,17,36.8,Tablet,Esportes,5.0,4.5,
165,0,42,Feminino,Norte,Mensal,Cartão de Crédito,Padrão,44.9,26,6,0,0,6,32.9,TV,Séries,3.5,,
166,1,26,Feminino,Sul,Mensal,Cartão de Crédito,Premium,59.9,17,16,0,2,50,45.9,Tablet,Filmes,2.5,3.0,
167,0,55,Masculino,Nordeste,Anual,Crédito Recorrente,Padrão,38.9,1,4,0,1,7,41.7,TV,Séries,3.5,3.0,3.5
168,0,34,Masculino,Sudeste,Mensal,Cartão de Crédito,Padrão,44.9,1,8,0,1,2,21.8,TV,Novelas,3.0,4.5,2.5
169,0,51,,Sul,Mensal,Crédito Recorrente,Padrão,44.9,1,6,0,2,29,13.9,Tablet,Novelas,4.5,,
170,1,43,Feminino,Sudeste,Mensal,Cartão de Crédito,Padrão,44.9,24,4,1,0,9,12.6,Tablet,Séries,2.5,,3.5
171,0,41,Masculino,Sul,Anual,Crédito Recorrente,Básico,18.9,7,6,0,0,17,13.9,Desktop,Esportes,,5.0,
172,1,38,Feminino,Sudeste,Mensal,Cartão de Crédito,Padrão,44.9,7,4,0,1,3,23.4,TV,Séries,2.5,3.5,3.0
173,1,36,Masculino,Nordeste,Mensal,Pix,Básico,20.9,4,13,0,5,18,19.8,Mobile,Filmes,3.0,4.0,2.5
174,0,33,Masculino,Nordeste,Mensal,Débito,Básico,20.9,17,3,0,1,71,30.9,Desktop,Novelas,3.0,3.5,
175,0,34,Feminino,Nordeste,Mensal,Crédito Recorrente,Padrão,44.9,1,7,0,1,21,42.1,Mobile,Séries,3.5,3.0,
176,0,37,Feminino,Sudeste,Mensal,Pix,Premium,59.9,14,8,0,1,37,29.4,Mobile,Séries,3.5,,5.0
177,1,35,Feminino,Centro-Oeste,Mensal,Pix,Padrão,44.9,11,6,1,1,19,15.5,Desktop,Filmes,3.5,4.5,3.5
178,0,26,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,48.9,2,5,0,1,14,28.2,TV,Esportes,,2.0,3.5
179,0,34,Masculino,Sudeste,Mensal,Cartão de Crédito,Básico,20.9,3,5,0,0,68,30.2,TV,Séries,3.0,,
180,0,29,Feminino,Centro-Oeste,Mensal,Débito,Padrão,44.9,4,2,0,2,14,5.0,TV,Novelas,,3.5,
181,0,30,Masculino,Sudeste,Anual,Crédito Recorrente,Padrão,38.9,16,8,0,0,2,29.3,TV,Infantil,,,4.0
182,0,74,Masculino,Sudeste,Mensal,Pix,Premium,59.9,10,4,1,0,2,14.3,Desktop,Filmes,3.0,,1.0
183,0,62,,Sudeste,Mensal,Cartão de Crédito,Premium,59.9,8,3,0,1,8,10.5,TV,Novelas,3.5,,4.0
184,0,38,Feminino,Sudeste,Mensal,Pix,Premium,59.9,29,11,0,0,11,19.0,Desktop,Filmes,4.5,,
185,1,44,Feminino,Nordeste,Mensal,Cartão de Crédito,Padrão,44.9,1,7,0,0,41,30.3,Mobile,Novelas,4.0,4.0,4.5
186,0,79,Feminino,Sudeste,Mensal,Débito Automático,Premium,59.9,22,3,0,1,18,34.2,Mobile,Documentários,,,2.0
187,0,28,Feminino,Sul,Mensal,Pix,Premium,59.9,6,19,0,0,36,37.3,TV,Filmes,4.5,,5.0
188,0,29,,Sul,Mensal,Débito,Padrão,44.9,12,6,0,0,24,26.4,Mobile,Séries,1.5,3.0,
189,0,28,Masculino,Nordeste,Anual,Crédito Recorrente,Padrão,38.9,27,4,1,1,2,20.7,Mobile,Infantil,4.5,,
190,1,30,Feminino,Norte,Mensal,Pix,Premium,59.9,19,5,0,1,12,27.1,Tablet,Filmes,4.0,3.0,3.0
191,0,32,Masculino,Centro-Oeste,Mensal,Pix,Padrão,44.9,5,3,0,3,34,25.0,Desktop,Séries,4.0,,
192,1,33,Masculino,Sudeste,Mensal,Débito Automático,Padrão,44.9,30,7,0,2,15,5.0,TV,Esportes,2.5,,
193,0,40,Masculino,Sudeste,Mensal,Pix,Premium,59.9,1,4,0,3,41,27.7,Mobile,Infantil,,4.0,2.0
194,0,49,Masculino,Centro-Oeste,Anual,Crédito Recorrente,Premium,48.9,11,2,0,1,39,19.2,Tablet,Documentários,2.5,3.0,4.0
195,0,47,,Sudeste,Mensal,Crédito Recorrente,Premium,59.9,7,15,0,0,43,23.8,TV,Infantil,3.5,3.5,4.0
