cliente_id,idade,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,contatos_suporte,avaliacao_conteudo,metodo_pagamento,dispositivo_principal,churn
CLI00040,71,29,Padrão,29.90,86,135,2,4.2,Boleto,tv,0
CLI00041,22,24,Padrão,29.90,87,18,5,4.6,,TV,1
CLI00042,69,5,PREMIUM,39.90,13,12,6,1.1,"Cartão de Crédito",Mobile,1
CLI00043,67,53,Padrão,29.90,9,188,1,4.6,"Cartão de Crédito",TV,1
CLI00044,63,15,Básico,19.90,81,58,7,2.0,"Cartão de Crédito",Desktop,0
CLI00045,31,30,Padrão,29.90,29,155,9,2.0,PIX,tv,0
CLI00046,37,6,Premium,39.90,72,105,5,4.8,"Cartão de Crédito",Tablet,0
CLI00047,72,36,PREMIUM,39.90,77,105,1,2.8,,TV,0
CLI00048,69,7,Premium,39.90,53,85,7,3.4,PIX,TV,0
CLI00049,38,30,Premium,39.90,77,130,7,1.9,Boleto,Tablet,0
CLI00050,62,21,basico,19.90,3,70,0,0.9,Credito,Mobile,1
CLI00051,48,48,Premium,39.90,68,76,0,3.7,"Cartão de Crédito",mobile,0
CLI00052,62,49,Padrão,29.90,98,145,9,2.4,"Cartão de Crédito",tv,1
CLI00053,28,52,Padrão,29.90,13,26,3,0.3,PIX,Tablet,1
CLI00054,68,11,PREMIUM,39.90,34,13,1,2.2,Boleto,Desktop,1
CLI00055,28,12,Padrão,29.90,34,117,0,2.6,Boleto,Desktop,0
CLI00056,47,56,Premium,39.90,85,76,8,2.8,Débito,mobile,0
CLI00057,41,3,basico,19.90,98,76,5,4.3,Débito,Mobile,1
CLI00058,59,47,basico,19.90,57,152,3,3.6,Credito,TV,0
CLI00059,44,56,Premium,39.90,72,116,1,4.7,Credito,tv,0
CLI00060,32,10,Padrão,29.90,26,165,1,5.0,PIX,tv,0
CLI00061,32,29,Premium,39.90,54,186,9,0.5,,TV,0
CLI00062,53,20,PREMIUM,39.90,56,165,0,2.6,Débito,Mobile,0
CLI00063,63,35,Padrão,29.90,15,27,8,0.6,Credito,Mobile,1
CLI00064,65,16,Premium,39.90,34,72,2,0.2,Credito,TV,1
CLI00065,75,25,Padrão,29.90,44,181,2,1.7,PIX,mobile,0
CLI00066,63,41,Padrão,29.90,68,37,0,0.4,Boleto,mobile,1
CLI00067,44,43,Básico,19.90,96,21,6,3.3,Débito,tv,0
CLI00068,47,13,Padrão,29.90,93,94,6,3.3,,tv,0
CLI00069,72,4,Padrão,29.90,77,29,7,0.7,Boleto,TV,1
CLI00070,62,43,Premium,39.90,59,23,1,0.5,PIX,mobile,1
CLI00071,64,13,Padrão,29.90,30,31,3,4.8,Boleto,mobile,1
CLI00072,74,38,Premium,39.90,52,90,5,4.5,Débito,Mobile,0
CLI00073,49,22,Padrão,29.90,75,50,8,0.1,PIX,TV,0
CLI00074,71,34,PREMIUM,39.90,54,168,8,2.4,PIX,TV,0
CLI00075,44,34,Premium,39.90,16,103,4,0.5,,TV,1
CLI00076,30,55,Básico,19.90,59,58,8,4.8,Boleto,tv,0
CLI00077,35,47,basico,19.90,55,66,7,4.3,,Mobile,1
CLI00078,60,32,PREMIUM,39.90,26,17,9,1.1,Débito,tv,1
CLI00079,24,9,Básico,19.90,53,70,6,1.5,"Cartão de Crédito",mobile,1
CLI00080,48,47,Básico,19.90,91,157,7,2.5,,Tablet,0
CLI00081,29,55,Básico,19.90,96,47,3,1.2,Boleto,Mobile,0
CLI00082,48,46,PREMIUM,39.90,18,86,4,1.3,,tv,0
CLI00083,24,33,Padrão,29.90,28,39,0,2.2,"Cartão de Crédito",Desktop,0
CLI00084,59,36,Premium,39.90,20,175,3,4.9,"Cartão de Crédito",mobile,0
CLI00085,74,50,Premium,39.90,46,189,3,1.4,"Cartão de Crédito",Desktop,0
CLI00086,73,55,basico,19.90,47,71,3,0.8,Débito,mobile,0
CLI00087,68,51,Básico,19.90,74,173,1,1.7,PIX,TV,1
CLI00088,69,36,Básico,19.90,75,128,3,0.1,Boleto,mobile,0
CLI00089,65,11,Básico,19.90,19,108,1,2.8,Débito,mobile,0
CLI00090,32,44,PREMIUM,39.90,46,142,9,1.6,PIX,Desktop,1
CLI00091,20,28,Padrão,29.90,74,26,2,1.1,Boleto,TV,0
CLI00092,43,17,basico,19.90,36,182,7,2.5,Boleto,mobile,0
CLI00093,22,11,Básico,19.90,40,149,2,4.1,,tv,0
CLI00094,51,2,Premium,39.90,96,50,2,1.4,,Mobile,1
CLI00095,18,54,basico,19.90,68,62,3,3.1,PIX,mobile,0
CLI00096,47,45,Padrão,29.90,21,85,4,1.4,Débito,Tablet,1
CLI00097,62,52,PREMIUM,39.90,28,132,5,0.1,Débito,Mobile,1
CLI00098,41,NaN,Básico,19.90,42,177,,4.2,PIX,mobile,0
CLI00099,63,17,PREMIUM,39.90,78,177,9,1.4,,tv,0
CLI00100,60,53,basico,19.90,31,105,9,3.9,Boleto,Tablet,0
CLI00101,21,55,Premium,39.90,1,112,8,1.8,Boleto,Tablet,1
CLI00102,18,53,PREMIUM,39.90,78,39,5,3.7,Credito,TV,0
CLI00103,18,1,Premium,39.90,9,142,0,0.7,Débito,Mobile,1
CLI00104,60,50,Padrão,29.90,87,188,6,0.1,Débito,mobile,1
CLI00105,52,12,Padrão,29.90,80,134,4,3.0,PIX,Tablet,0
CLI00106,21,35,Padrão,29.90,55,177,0,4.4,Boleto,Tablet,0
CLI00107,53,20,PREMIUM,39.90,17,42,0,2.5,"Cartão de Crédito",tv,0
CLI00108,29,44,Padrão,29.90,1,58,1,3.1,Boleto,Desktop,1
CLI00109,67,37,basico,19.90,58,49,7,4.4,PIX,Tablet,0
CLI00110,,16,PREMIUM,39.90,30,168,3,4.5,"Cartão de Crédito",mobile,0
CLI00111,51,11,Premium,39.90,74,88,2,3.4,Credito,mobile,0
CLI00112,72,25,PREMIUM,39.90,69,72,2,0.5,PIX,mobile,1
CLI00113,19,59,Básico,19.90,12,78,2,4.4,Credito,Desktop,0
CLI00114,69,58,Básico,19.90,10,34,7,3.2,Boleto,Desktop,1
CLI00115,19,32,Básico,19.90,78,51,3,3.9,,Mobile,0
CLI00116,64,12,Padrão,29.90,17,128,0,3.4,Credito,Desktop,1
CLI00117,68,47,basico,19.90,18,73,0,3.6,Débito,TV,1
CLI00118,75,30,basico,19.90,27,183,9,1.0,PIX,TV,0
CLI00119,27,39,basico,19.90,81,116,7,2.2,,tv,0
CLI00120,25,52,PREMIUM,39.90,95,55,5,1.7,Boleto,TV,1
CLI00121,61,42,PREMIUM,39.90,36,184,3,0.1,PIX,Tablet,0
CLI00122,51,38,PREMIUM,39.90,12,72,8,1.9,Credito,Mobile,0
CLI00123,72,1,basico,19.90,40,153,4,4.0,Débito,mobile,1
CLI00124,40,48,Premium,39.90,20,38,7,3.8,Débito,Mobile,1
CLI00125,66,30,Padrão,29.90,57,97,3,4.8,,mobile,0
CLI00126,18,1,PREMIUM,39.90,83,152,5,4.8,"Cartão de Crédito",tv,0
CLI00127,69,52,Padrão,29.90,17,42,5,4.7,,TV,1
CLI00128,48,54,Padrão,29.90,13,52,6,4.4,Boleto,mobile,0
CLI00129,61,13,Básico,19.90,86,160,2,4.6,Boleto,Desktop,0
CLI00130,41,60,PREMIUM,39.90,0,130,,4.8,,Desktop,1
CLI00131,44,6,Básico,19.90,92,26,9,2.7,Credito,tv,0
CLI00132,49,13,basico,19.90,47,65,7,3.6,,tv,1
CLI00133,56,44,PREMIUM,39.90,43,173,0,0.7,Débito,tv,1
CLI00134,55,22,basico,19.90,50,125,2,3.0,Credito,Mobile,0
CLI00135,25,37,basico,19.90,96,114,2,2.3,,Mobile,1
CLI00136,72,51,PREMIUM,39.90,29,117,0,3.2,Credito,Tablet,0
CLI00137,50,45,Padrão,29.90,6,31,8,1.9,Credito,Tablet,1
CLI00138,61,58,Básico,19.90,83,77,9,2.8,Débito,tv,1
CLI00139,66,31,PREMIUM,39.90,18,31,3,1.9,Credito,mobile,0
CLI00140,24,45,Básico,19.90,89,105,7,4.8,Boleto,Tablet,0
CLI00141,27,49,Padrão,29.90,82,142,2,0.3,"Cartão de Crédito",Tablet,0
CLI00142,26,39,basico,19.90,60,29,7,4.3,Credito,Mobile,1
CLI00143,28,47,PREMIUM,39.90,94,79,5,3.6,"Cartão de Crédito",Desktop,1
CLI00144,52,26,Premium,39.90,40,113,8,0.9,,Mobile,0
CLI00145,53,52,Básico,19.90,0,171,1,4.9,Credito,tv,1
CLI00146,40,33,Padrão,29.90,98,125,4,4.9,PIX,mobile,0
CLI00147,47,41,Básico,19.90,1,17,5,4.2,PIX,Mobile,1
CLI00148,19,37,Padrão,29.90,89,166,2,1.6,Débito,TV,0
CLI00149,57,58,Premium,39.90,10,154,5,1.3,PIX,Tablet,1
CLI00150,43,7,Premium,39.90,22,140,5,3.0,,Mobile,0
CLI00151,40,2,Básico,19.90,40,12,3,3.4,Boleto,tv,1
CLI00152,59,27,Premium,39.90,52,47,1,4.2,Débito,Desktop,1
CLI00153,32,45,Padrão,29.90,58,18,4,3.6,Débito,Mobile,1
CLI00154,50,NaN,Premium,39.90,3,31,5,3.5,Credito,Mobile,0
CLI00155,37,51,Básico,19.90,27,11,0,2.6,Boleto,TV,0
CLI00156,50,12,PREMIUM,39.90,95,188,8,3.4,Credito,tv,0
CLI00157,,NaN,basico,19.90,44,68,9,4.9,,Mobile,0
CLI00158,68,54,Padrão,29.90,28,131,9,4.9,"Cartão de Crédito",Mobile,0
CLI00159,68,58,Básico,19.90,99,130,0,2.8,Credito,mobile,1
CLI00160,74,27,Básico,19.90,15,173,0,0.8,,Tablet,1
CLI00161,58,18,Padrão,29.90,8,18,9,4.4,Credito,Desktop,1
CLI00162,50,24,PREMIUM,39.90,70,106,4,1.4,Débito,TV,0
CLI00163,69,55,Padrão,29.90,43,12,6,1.5,"Cartão de Crédito",Tablet,1
CLI00164,66,6,Padrão,29.90,88,141,3,1.8,,Mobile,0
CLI00165,28,8,Premium,39.90,36,38,4,1.1,"Cartão de Crédito",Tablet,0
CLI00166,52,39,basico,19.90,34,69,9,1.0,Boleto,tv,1
CLI00167,51,35,basico,19.90,69,19,0,1.8,Credito,Tablet,0
CLI00168,63,25,Padrão,29.90,36,63,3,2.2,Credito,Mobile,0
CLI00169,24,51,PREMIUM,39.90,55,38,6,3.6,,tv,1
CLI00170,28,53,basico,19.90,39,163,2,1.6,Credito,tv,0
CLI00171,34,60,basico,19.90,71,80,5,4.0,Débito,Desktop,0
CLI00172,70,13,basico,19.90,34,35,5,2.6,Boleto,tv,1
CLI00173,34,10,PREMIUM,39.90,42,104,8,0.8,PIX,tv,1
CLI00174,65,22,Padrão,29.90,40,62,3,1.3,Credito,Desktop,1
CLI00175,19,6,PREMIUM,39.90,16,172,7,4.8,"Cartão de Crédito",Tablet,1
CLI00176,23,58,Padrão,29.90,99,46,4,1.3,Credito,Mobile,1
CLI00177,39,44,Básico,19.90,85,90,8,1.8,"Cartão de Crédito",Desktop,1
CLI00178,54,44,Básico,19.90,26,50,9,1.6,Boleto,mobile,0
CLI00179,42,19,Básico,19.90,36,25,4,4.7,Boleto,TV,1
CLI00180,75,17,PREMIUM,39.90,74,151,7,1.4,PIX,tv,0
CLI00181,63,59,Padrão,29.90,35,147,6,3.3,Boleto,TV,1
CLI00182,22,56,Básico,19.90,18,80,5,4.3,,Mobile,1
CLI00183,35,1,basico,19.90,61,53,8,2.2,Credito,TV,1
CLI00184,54,11,Padrão,29.90,74,15,3,2.4,"Cartão de Crédito",Mobile,1
CLI00185,48,16,basico,19.90,48,33,6,4.0,"Cartão de Crédito",Desktop,0
CLI00186,73,46,Premium,39.90,97,48,4,1.1,"Cartão de Crédito",Mobile,1
CLI00187,65,47,basico,19.90,87,93,3,4.6,"Cartão de Crédito",tv,0
CLI00188,66,59,Padrão,29.90,38,63,2,0.5,PIX,Tablet,0
CLI00189,40,38,Premium,39.90,81,103,8,4.9,Boleto,TV,0
CLI00190,72,49,Premium,39.90,9,18,5,1.3,Credito,mobile,1
CLI00191,58,7,PREMIUM,39.90,64,155,1,2.4,Credito,Mobile,0
CLI00192,37,27,PREMIUM,39.90,10,119,9,4.5,Débito,Desktop,0
CLI00193,69,34,basico,19.90,15,144,1,2.9,Credito,Mobile,0
CLI00194,63,21,Premium,39.90,42,57,6,4.1,"Cartão de Crédito",tv,1
CLI00195,42,29,basico,19.90,60,186,1,4.2,Credito,mobile,0
CLI00196,66,13,basico,19.90,53,70,0,0.9,,mobile,0
CLI00197,39,38,basico,19.90,54,20,8,4.3,PIX,Mobile,0
CLI00198,77,6,Premium,39.90,56,21,0,3.3,,Desktop,0
CLI00199,75,60,Premium,39.90,0,99,9,0.7,Boleto,tv,0
CLI00200,34,60,basico,19.90,13,147,1,0.1,Boleto,mobile,0
CLI00201,51,47,Premium,39.90,28,135,9,0.3,"Cartão de Crédito",Tablet,0
CLI00202,48,2,Premium,39.90,67,22,6,3.1,"Cartão de Crédito",Mobile,1
CLI00203,47,29,Básico,19.90,31,169,7,0.6,,Mobile,1
CLI00204,,20,PREMIUM,39.90,50,145,,1.5,,Tablet,0
CLI00205,69,27,Padrão,29.90,64,50,8,2.1,Credito,tv,0
CLI00206,48,50,basico,19.90,63,145,7,0.0,Credito,mobile,1
CLI00207,43,56,Premium,39.90,91,80,9,1.3,Débito,Tablet,1
CLI00208,76,52,Básico,19.90,70,43,1,0.1,PIX,Tablet,0
CLI00209,56,49,Premium,39.90,22,157,9,1.5,,Mobile,1
CLI00210,28,58,Básico,19.90,23,18,8,3.7,PIX,Mobile,1
CLI00211,24,2,basico,19.90,58,17,7,0.9,Credito,TV,1
CLI00212,51,33,basico,19.90,82,53,9,4.6,Boleto,Desktop,0
CLI00213,32,38,Padrão,29.90,7,28,0,0.8,Boleto,Mobile,1
CLI00214,44,27,Premium,39.90,27,185,7,3.4,Boleto,mobile,0
CLI00215,68,36,Básico,19.90,83,20,9,4.6,,tv,1
CLI00216,70,51,Padrão,29.90,18,59,2,2.1,Débito,Desktop,0
CLI00217,54,29,Padrão,29.90,69,19,7,2.9,PIX,Tablet,1
CLI00218,49,20,Padrão,29.90,19,56,1,4.6,Débito,TV,0
CLI00219,69,14,Padrão,29.90,85,128,4,2.3,Boleto,TV,0
CLI00220,48,36,Padrão,29.90,61,39,3,4.4,Boleto,Mobile,0
CLI00221,58,54,basico,19.90,1,78,9,4.1,,TV,1
CLI00222,21,40,Premium,39.90,62,32,7,1.0,,Tablet,1
CLI00223,35,22,Premium,39.90,91,121,1,0.1,Débito,Mobile,1
CLI00224,66,49,Básico,19.90,67,149,4,1.6,Boleto,Tablet,1
CLI00225,27,22,Premium,39.90,41,25,0,3.1,PIX,TV,1
CLI00226,58,13,basico,19.90,72,139,5,4.9,Credito,mobile,0
CLI00227,64,23,Básico,19.90,10,19,5,0.3,,tv,1
CLI00228,55,5,Básico,19.90,56,164,1,4.9,Débito,tv,0
CLI00229,61,2,Básico,19.90,21,106,5,2.6,Boleto,Tablet,1
CLI00230,62,6,Básico,19.90,19,33,2,0.6,Credito,Mobile,0
CLI00231,21,56,Premium,39.90,61,24,5,1.4,PIX,tv,0
CLI00232,30,45,basico,19.90,69,78,4,1.9,Débito,mobile,1
CLI00233,68,53,Premium,39.90,75,86,8,2.7,Débito,Tablet,1
CLI00234,41,29,PREMIUM,39.90,21,70,4,0.7,"Cartão de Crédito",tv,1
CLI00235,18,36,Padrão,29.90,25,163,1,3.4,Débito,Desktop,0
CLI00236,70,50,basico,19.90,19,169,4,2.3,Credito,mobile,1
CLI00237,72,44,Padrão,29.90,49,38,7,1.6,Débito,Tablet,0
CLI00238,38,29,PREMIUM,39.90,98,163,5,0.2,Boleto,TV,0
CLI00239,69,2,Básico,19.90,10,40,6,2.6,,Tablet,1
CLI00240,54,54,Básico,19.90,13,100,0,3.0,Débito,tv,0
CLI00241,41,23,Padrão,29.90,65,177,5,2.8,PIX,Mobile,0
CLI00242,77,24,basico,19.90,4,74,3,3.7,"Cartão de Crédito",Tablet,0
CLI00243,29,50,Padrão,29.90,26,141,1,4.8,PIX,Tablet,0
CLI00244,58,20,Padrão,29.90,68,137,2,1.1,Débito,Desktop,0
CLI00245,58,3,basico,,67,37,5,0.7,PIX,tv,0
CLI00246,75,46,basico,19.90,4,162,1,0.3,"Cartão de Crédito",Tablet,0
CLI00247,68,16,Premium,39.90,25,112,7,4.5,Débito,tv,0
CLI00248,65,4,Premium,39.90,52,75,6,4.9,Credito,Tablet,1
CLI00249,57,40,Padrão,29.90,57,137,3,0.1,"Cartão de Crédito",Tablet,1
CLI00250,63,12,Básico,19.90,78,41,2,1.6,"Cartão de Crédito",tv,0
CLI00251,38,42,Padrão,29.90,80,42,8,2.7,PIX,tv,0
CLI00252,65,1,Premium,39.90,91,183,3,2.5,Boleto,mobile,0
CLI00253,56,8,Premium,39.90,48,77,5,4.5,PIX,tv,0
CLI00254,64,15,PREMIUM,39.90,67,50,0,2.2,Boleto,mobile,0
CLI00255,73,38,PREMIUM,39.90,27,61,7,2.2,"Cartão de Crédito",TV,0
CLI00256,31,10,PREMIUM,39.90,66,112,6,2.2,Credito,mobile,1
CLI00257,40,18,Premium,39.90,25,129,0,1.1,"Cartão de Crédito",mobile,0
CLI00258,18,55,Padrão,29.90,89,15,1,4.3,Boleto,Tablet,1
CLI00259,69,44,Básico,19.90,42,101,7,3.3,Credito,Tablet,1
CLI00260,54,7,Premium,39.90,31,163,8,2.6,PIX,tv,0
CLI00261,25,17,Premium,39.90,78,163,3,2.6,Boleto,tv,0
CLI00262,77,14,basico,19.90,21,153,2,4.7,,TV,0
CLI00263,58,8,basico,19.90,47,127,3,1.0,Débito,TV,0
CLI00264,31,50,Premium,39.90,70,58,3,4.9,PIX,Tablet,0
CLI00265,57,27,PREMIUM,39.90,49,182,3,4.9,Boleto,Tablet,0
CLI00266,27,26,Padrão,29.90,94,21,4,2.6,Boleto,TV,1
CLI00267,39,2,Premium,39.90,27,78,7,3.6,,tv,1
CLI00268,55,37,Básico,19.90,5,153,2,4.6,Débito,TV,1
CLI00269,30,43,Premium,39.90,31,12,0,3.2,,Tablet,0
CLI00270,24,47,Premium,39.90,25,18,1,2.7,Boleto,Mobile,0
CLI00271,53,38,Padrão,29.90,93,85,4,0.6,Credito,tv,1
CLI00272,50,25,PREMIUM,39.90,44,60,9,3.4,,tv,1
CLI00273,62,15,PREMIUM,39.90,82,156,7,2.2,"Cartão de Crédito",TV,0
CLI00274,71,51,basico,19.90,23,132,0,2.7,PIX,Tablet,1
CLI00275,50,48,basico,19.90,78,43,4,0.8,PIX,Desktop,1
CLI00276,73,51,PREMIUM,39.90,30,150,9,2.6,,TV,1
CLI00277,33,20,Premium,39.90,24,182,6,0.3,Boleto,TV,0
CLI00278,54,60,basico,19.90,86,33,9,4.0,Boleto,Mobile,1
CLI00279,29,50,Padrão,29.90,94,96,8,3.6,"Cartão de Crédito",tv,0
CLI00280,40,15,Padrão,29.90,5,175,7,4.5,Boleto,Desktop,0
CLI00281,52,44,Premium,39.90,53,168,8,3.1,Débito,tv,0
CLI00282,46,55,basico,19.90,92,175,1,4.4,"Cartão de Crédito",tv,0
CLI00283,,27,Premium,39.90,94,104,8,0.4,,mobile,1
CLI00284,22,25,PREMIUM,39.90,40,174,6,3.2,Credito,Mobile,0
CLI00285,65,10,PREMIUM,39.90,34,138,0,3.9,Credito,TV,0
CLI00286,34,60,Básico,19.90,75,60,3,3.7,PIX,TV,0
CLI00287,53,47,Padrão,29.90,39,97,1,0.8,Débito,TV,0
CLI00288,34,39,Premium,39.90,62,71,9,4.6,Boleto,Mobile,0
CLI00289,21,30,PREMIUM,39.90,66,92,2,3.1,,Desktop,0
CLI00290,36,15,Básico,19.90,94,166,3,4.9,Credito,Tablet,0
CLI00291,67,31,Básico,19.90,3,76,1,4.3,Boleto,TV,1
CLI00292,35,13,Padrão,29.90,56,61,2,3.1,PIX,Desktop,1
CLI00293,75,24,PREMIUM,39.90,35,181,6,0.7,"Cartão de Crédito",mobile,1
CLI00294,26,11,Básico,19.90,51,15,6,4.7,"Cartão de Crédito",Mobile,0
CLI00295,73,29,Básico,,94,129,,0.1,PIX,Desktop,1
CLI00296,57,54,Padrão,29.90,54,80,4,1.3,Boleto,mobile,0
CLI00297,45,47,Premium,39.90,37,13,3,3.4,,tv,0
CLI00298,75,59,Padrão,29.90,36,107,0,0.8,Boleto,mobile,0
CLI00299,42,55,Premium,,18,97,5,1.9,Débito,TV,0
CLI00300,58,47,Básico,19.90,98,28,3,3.6,Boleto,Tablet,1
CLI00301,48,7,basico,19.90,0,186,6,4.1,,Desktop,0
CLI00302,71,52,Básico,19.90,97,122,2,3.5,PIX,mobile,0
CLI00303,45,22,basico,19.90,73,165,5,2.2,"Cartão de Crédito",Tablet,0
CLI00304,57,3,basico,19.90,62,72,8,4.0,PIX,Mobile,1
CLI00305,64,24,Premium,39.90,11,93,9,3.9,Débito,Mobile,0
CLI00306,40,4,Básico,19.90,63,19,7,0.8,Credito,TV,1
CLI00307,42,37,basico,19.90,40,12,2,2.2,,mobile,1
CLI00308,32,28,Básico,19.90,5,61,2,3.4,"Cartão de Crédito",Tablet,0
CLI00309,45,2,PREMIUM,39.90,35,163,8,4.2,,tv,1
CLI00310,72,16,PREMIUM,39.90,5,105,1,3.2,Débito,tv,0
CLI00311,68,26,Padrão,29.90,52,83,2,4.2,Débito,TV,0
CLI00312,34,58,Básico,19.90,9,109,1,2.9,Credito,mobile,0
CLI00313,76,24,Padrão,29.90,97,68,8,4.3,Boleto,Desktop,0
CLI00314,64,19,Básico,19.90,31,21,2,0.1,"Cartão de Crédito",Tablet,1
CLI00315,25,36,PREMIUM,39.90,12,105,1,1.8,PIX,Tablet,1
CLI00316,,2,PREMIUM,39.90,6,25,7,4.8,,Mobile,1
CLI00317,18,27,Básico,19.90,15,86,3,4.4,PIX,Tablet,0
CLI00318,23,28,PREMIUM,39.90,8,149,1,2.8,Credito,Desktop,0
CLI00319,30,11,Básico,19.90,38,94,2,0.3,"Cartão de Crédito",Mobile,0
CLI00320,62,53,PREMIUM,39.90,27,89,5,1.1,Boleto,TV,0
CLI00321,43,4,PREMIUM,39.90,5,181,4,0.3,Boleto,Desktop,1
CLI00322,32,35,PREMIUM,39.90,80,37,6,2.3,,TV,0
CLI00323,22,13,basico,19.90,61,115,8,2.4,Débito,Tablet,0
CLI00324,71,34,Básico,19.90,52,135,4,2.7,PIX,tv,1
CLI00325,19,16,basico,19.90,18,159,6,0.2,PIX,TV,1
CLI00326,59,29,PREMIUM,39.90,69,189,5,3.7,,mobile,0
CLI00327,30,6,Padrão,29.90,79,12,8,2.4,Credito,mobile,0
CLI00328,69,12,Padrão,29.90,6,15,5,3.2,"Cartão de Crédito",mobile,0
CLI00329,30,57,Básico,19.90,84,136,3,4.0,Débito,Tablet,0
CLI00330,42,15,PREMIUM,39.90,64,70,6,0.7,"Cartão de Crédito",TV,1
CLI00331,76,35,Padrão,29.90,82,32,2,2.8,Débito,Tablet,1
CLI00332,28,25,Premium,39.90,58,121,6,0.5,"Cartão de Crédito",TV,1
CLI00333,21,1,basico,19.90,2,40,6,4.5,Boleto,Mobile,1
CLI00334,26,46,Padrão,29.90,65,174,7,3.3,"Cartão de Crédito",Desktop,1
CLI00335,63,43,basico,19.90,98,60,4,2.6,"Cartão de Crédito",mobile,0
CLI00336,57,15,PREMIUM,39.90,45,62,6,0.4,"Cartão de Crédito",Desktop,0
CLI00337,38,22,PREMIUM,39.90,41,48,6,2.8,Boleto,mobile,1
CLI00338,71,14,Premium,39.90,20,183,0,2.9,,Tablet,0
CLI00339,35,49,Básico,19.90,9,49,4,4.1,"Cartão de Crédito",Tablet,0
CLI00340,39,6,Básico,19.90,55,90,0,2.5,Débito,TV,0
CLI00341,55,12,Premium,39.90,32,108,7,0.9,PIX,Tablet,1
CLI00342,67,21,PREMIUM,39.90,28,92,4,3.7,Boleto,Mobile,0
CLI00343,50,57,basico,19.90,73,15,9,3.5,Boleto,TV,0
CLI00344,65,55,Premium,39.90,15,183,1,1.5,"Cartão de Crédito",Tablet,1
CLI00345,41,33,Básico,19.90,53,165,6,2.9,"Cartão de Crédito",Desktop,0
CLI00346,75,1,basico,19.90,88,180,7,1.6,PIX,Desktop,1
CLI00347,39,1,Padrão,29.90,0,68,7,0.7,"Cartão de Crédito",Tablet,1
CLI00348,38,34,Básico,19.90,3,47,7,0.8,"Cartão de Crédito",Mobile,1
