cliente_id,idade,genero,parceiro,dependentes,acessibilidade,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,avaliacao_conteudo,media_avaliacao_plataforma,formato_mais_assistido,contatos_suporte,metodo_pagamento,dispositivo_principal,churn
CLI_000015,44.0,Masculino,1.0,0.0,0,45.0,Básico,19.9,8,128,2.9,3.8,Esportivos,8.0,Boleto,Mobile,0
CLI_000016,48.0,Masculino,,0.0,1,22.0,Básico,19.9,75,144,4.2,4.6,Séries,,PIX,Desktop,0
CLI_000017,61.0,Masculino,1.0,1.0,0,15.0,Padrão,29.9,59,53,2.3,3.8,Séries,4.0,Boleto,Desktop,1
CLI_000018,24.0,Masculino,1.0,1.0,0,13.0,Básico,19.9,44,93,1.5,4.7,Filmes,1.0,Cartão de Crédito,Tablet,0
CLI_000019,77.0,Masculino,,0.0,1,,Básico,19.9,13,100,0.6,2.4,Documentários,0.0,Credito,Mobile,1
CLI_000020,70.0,Masculino,1.0,1.0,1,29.0,Básico,19.9,61,160,3.1,3.6,Filmes,9.0,Boleto,Desktop,0
CLI_000021,73.0,Masculino,,0.0,0,,Básico,19.9,3,107,3.7,3.1,Séries,2.0,Cartão de Crédito,TV,0
CLI_000022,25.0,Masculino,,0.0,0,7.0,Básico,19.9,70,83,3.4,3.6,Novelas,3.0,Credito,Mobile,0
CLI_000023,68.0,Masculino,1.0,0.0,0,41.0,Básico,19.9,83,110,2.1,5.0,Séries,8.0,PIX,Tablet,0
CLI_000024,46.0,Feminino,,0.0,1,14.0,Básico,19.9,10,160,1.5,2.9,Documentários,4.0,Cartão de Crédito,Mobile,0
CLI_000025,43.0,Feminino,1.0,,0,36.0,Básico,19.9,64,81,0.5,3.8,Novelas,5.0,Débito,tv,0
CLI_000026,23.0,Feminino,0.0,0.0,0,7.0,Premium,39.9,39,175,3.9,2.3,Filmes,5.0,Credito,Mobile,1
CLI_000027,32.0,Feminino,1.0,1.0,0,56.0,Padrão,29.9,54,60,3.3,5.0,Esportivos,4.0,Cartão de Crédito,mobile,0
CLI_000028,35.0,Feminino,,0.0,0,6.0,Básico,19.9,86,120,3.4,3.5,Infantil,2.0,Débito,mobile,0
CLI_000029,37.0,Feminino,1.0,0.0,0,53.0,Básico,19.9,86,102,0.3,3.3,Esportivos,2.0,Cartão de Crédito,Tablet,1
CLI_000030,74.0,Masculino,,1.0,0,10.0,Básico,19.9,37,144,1.4,4.7,Novelas,4.0,PIX,TV,0
CLI_000031,52.0,Feminino,1.0,0.0,1,47.0,Básico,19.9,76,167,3.8,3.5,Séries,5.0,Cartão de Crédito,TV,1
CLI_000032,21.0,Masculino,1.0,1.0,0,15.0,Básico,19.9,5,131,1.9,4.3,Séries,2.0,Cartão de Crédito,mobile,1
CLI_000033,72.0,Feminino,1.0,0.0,1,,Básico,19.9,83,182,,3.8,Filmes,4.0,Boleto,tv,1
CLI_000034,46.0,Feminino,0.0,0.0,0,30.0,Básico,19.9,74,183,2.3,4.0,Filmes,0.0,Cartão de Crédito,Mobile,0
CLI_000035,58.0,Masculino,0.0,0.0,1,7.0,Padrão,29.9,28,62,,5.0,Séries,6.0,Boleto,Mobile,1
CLI_000036,62.0,Masculino,0.0,0.0,0,56.0,Padrão,29.9,93,177,1.2,3.7,Infantil,0.0,Credito,TV,1
CLI_000037,36.0,Feminino,1.0,,1,47.0,Premium,39.9,57,171,0.1,4.1,Séries,9.0,Credito,Desktop,1
CLI_000038,53.0,Masculino,,1.0,1,36.0,Básico,19.9,55,173,,1.8,Filmes,7.0,PIX,Desktop,0
CLI_000039,61.0,Masculino,1.0,1.0,0,33.0,Premium,39.9,10,133,0.2,,Séries,5.0,Cartão de Crédito,mobile,1
CLI_000040,53.0,Feminino,1.0,1.0,0,56.0,Básico,19.9,42,26,0.2,3.4,Novelas,2.0,PIX,mobile,0
CLI_000041,28.0,Feminino,1.0,0.0,0,53.0,Básico,19.9,64,186,0.5,2.7,Filmes,4.0,PIX,tv,0
CLI_000042,27.0,Masculino,1.0,1.0,0,55.0,Premium,39.9,71,96,0.9,2.7,Séries,5.0,Credito,mobile,0
CLI_000043,57.0,Masculino,1.0,,0,57.0,Básico,19.9,68,45,1.6,2.8,Séries,7.0,Cartão de Crédito,Desktop,1
CLI_000044,44.0,Masculino,0.0,0.0,0,9.0,Básico,19.9,53,38,,5.0,Filmes,9.0,Cartão de Crédito,Desktop,0
CLI_000045,61.0,Masculino,1.0,0.0,0,52.0,Básico,19.9,63,32,1.9,4.0,Séries,2.0,Débito,mobile,0
CLI_000046,30.0,Feminino,1.0,,0,18.0,Básico,19.9,98,135,0.8,4.6,Infantil,6.0,Boleto,TV,0
CLI_000047,21.0,Feminino,1.0,1.0,0,51.0,Premium,39.9,13,99,4.8,5.0,Filmes,7.0,Cartão de Crédito,Mobile,0
CLI_000048,31.0,Feminino,1.0,0.0,0,56.0,Básico,19.9,60,166,4.8,2.8,Séries,2.0,Boleto,Desktop,0
CLI_000049,39.0,Masculino,1.0,0.0,0,40.0,Premium,39.9,81,105,1.7,5.0,Documentários,4.0,PIX,Desktop,0
CLI_000050,75.0,Masculino,1.0,0.0,0,14.0,Básico,19.9,30,23,0.1,2.0,Séries,5.0,Cartão de Crédito,Desktop,0
CLI_000051,76.0,Masculino,0.0,,0,59.0,Básico,19.9,13,32,3.5,4.8,Filmes,8.0,PIX,TV,0
CLI_000052,48.0,Feminino,0.0,,0,39.0,Básico,19.9,36,123,3.6,3.1,Séries,5.0,PIX,Desktop,0
CLI_000053,76.0,Feminino,0.0,0.0,0,45.0,Básico,19.9,74,181,1.1,3.4,Séries,5.0,Cartão de Crédito,mobile,1
CLI_000054,25.0,Feminino,0.0,0.0,0,7.0,Básico,19.9,52,185,2.0,4.8,Séries,1.0,Boleto,tv,0
CLI_000055,30.0,Masculino,,,0,54.0,Padrão,29.9,68,108,,3.9,Séries,8.0,Cartão de Crédito,tv,0
CLI_000056,61.0,Masculino,0.0,0.0,0,20.0,Básico,19.9,12,138,,4.0,Séries,4.0,Credito,Desktop,1
CLI_000057,50.0,Feminino,1.0,,0,11.0,Padrão,29.9,45,116,2.1,2.7,Filmes,0.0,Cartão de Crédito,tv,0
CLI_000058,,Masculino,1.0,1.0,1,52.0,Padrão,29.9,60,55,1.9,3.8,Filmes,7.0,Credito,mobile,0
CLI_000059,42.0,Feminino,1.0,,1,56.0,Básico,19.9,84,141,3.1,3.5,Filmes,2.0,Credito,mobile,1
CLI_000060,29.0,Masculino,,0.0,0,38.0,Padrão,29.9,92,147,1.6,3.2,Documentários,7.0,Débito,mobile,0
CLI_000061,73.0,Feminino,1.0,0.0,1,,Premium,39.9,46,111,2.1,3.8,Séries,7.0,Cartão de Crédito,Mobile,0
CLI_000062,36.0,Masculino,1.0,1.0,0,33.0,Padrão,29.9,89,87,2.4,2.9,Novelas,0.0,Boleto,Mobile,0
CLI_000063,66.0,Feminino,0.0,0.0,0,12.0,Básico,19.9,71,163,4.9,4.5,Séries,1.0,Boleto,Tablet,0
CLI_000064,36.0,Masculino,,1.0,1,22.0,Básico,19.9,13,159,4.1,4.1,Filmes,8.0,Cartão de Crédito,tv,1
CLI_000065,44.0,Feminino,1.0,0.0,0,4.0,Padrão,29.9,77,129,1.8,3.3,Séries,6.0,Cartão de Crédito,mobile,1
CLI_000066,71.0,Feminino,1.0,,0,36.0,Básico,19.9,54,161,3.8,2.6,Filmes,7.0,Boleto,Tablet,1
CLI_000067,64.0,Feminino,1.0,1.0,0,57.0,Básico,19.9,77,153,3.7,3.3,Filmes,3.0,Cartão de Crédito,TV,0
CLI_000068,20.0,Feminino,0.0,1.0,0,17.0,Básico,19.9,43,25,3.7,2.9,Séries,8.0,PIX,TV,0
CLI_000069,34.0,Feminino,1.0,0.0,0,51.0,Básico,19.9,96,120,1.1,4.9,Novelas,6.0,Credito,TV,0
CLI_000070,44.0,Masculino,0.0,,0,17.0,Básico,19.9,47,21,3.6,3.5,Séries,5.0,Boleto,mobile,0
CLI_000071,42.0,Feminino,0.0,1.0,0,22.0,Básico,19.9,34,57,0.3,4.3,Filmes,8.0,Cartão de Crédito,Tablet,0
CLI_000072,58.0,Masculino,,1.0,0,55.0,Básico,19.9,12,180,4.1,3.7,Documentários,2.0,Credito,tv,0
CLI_000073,74.0,Masculino,1.0,0.0,0,39.0,Básico,19.9,38,15,0.9,3.1,Séries,2.0,PIX,Tablet,1
CLI_000074,57.0,Masculino,0.0,0.0,0,56.0,Básico,19.9,95,34,4.9,4.7,Filmes,2.0,Boleto,tv,0
CLI_000075,21.0,Feminino,1.0,,0,11.0,Básico,19.9,69,150,0.5,1.9,Filmes,0.0,Débito,TV,0
CLI_000076,20.0,Feminino,,0.0,0,19.0,Premium,39.9,26,118,1.3,4.1,Séries,0.0,Cartão de Crédito,Mobile,0
CLI_000077,58.0,Masculino,0.0,0.0,0,39.0,Básico,19.9,88,154,,3.8,Séries,1.0,Boleto,tv,0
CLI_000078,57.0,Masculino,1.0,1.0,0,29.0,Básico,19.9,73,109,1.8,4.1,Filmes,1.0,PIX,Desktop,1
CLI_000079,72.0,Feminino,1.0,0.0,0,40.0,Básico,19.9,10,100,3.1,,Séries,7.0,Cartão de Crédito,TV,0
CLI_000080,54.0,Feminino,1.0,,0,20.0,Premium,39.9,81,98,2.0,1.3,Séries,5.0,Boleto,Mobile,1
CLI_000081,30.0,Feminino,0.0,0.0,0,10.0,Básico,19.9,85,88,,3.6,Séries,2.0,Credito,Mobile,1
CLI_000082,65.0,Masculino,,,0,36.0,Básico,19.9,36,120,3.5,3.8,Novelas,5.0,Débito,mobile,0
CLI_000083,53.0,Feminino,1.0,0.0,0,4.0,Padrão,29.9,99,111,0.0,4.6,Séries,7.0,Débito,Tablet,1
CLI_000084,63.0,Feminino,,0.0,0,58.0,Básico,19.9,79,188,3.4,3.5,Infantil,4.0,Cartão de Crédito,tv,0
CLI_000085,19.0,Masculino,1.0,0.0,0,23.0,Básico,19.9,5,117,0.5,2.6,Séries,0.0,Boleto,Mobile,0
CLI_000086,65.0,Feminino,1.0,,0,14.0,Básico,19.9,65,180,0.7,4.4,Séries,6.0,Boleto,tv,0
CLI_000087,25.0,Feminino,1.0,0.0,0,44.0,Básico,19.9,26,144,4.9,2.8,Séries,5.0,Cartão de Crédito,tv,1
CLI_000088,76.0,Masculino,1.0,0.0,0,55.0,Padrão,29.9,83,98,1.7,3.7,Documentários,6.0,Cartão de Crédito,TV,0
CLI_000089,49.0,Masculino,0.0,0.0,0,38.0,Básico,19.9,15,16,3.0,2.9,Séries,9.0,Cartão de Crédito,mobile,0
CLI_000090,59.0,Feminino,,1.0,0,53.0,Padrão,29.9,10,100,5.0,3.9,Documentários,4.0,Cartão de Crédito,Tablet,0
CLI_000091,36.0,Feminino,1.0,0.0,0,5.0,Básico,19.9,67,116,0.4,4.1,Séries,1.0,Boleto,Mobile,0
CLI_000092,55.0,Feminino,1.0,0.0,0,,Básico,19.9,37,134,2.4,3.3,Séries,4.0,Cartão de Crédito,Tablet,0
CLI_000093,47.0,Feminino,0.0,1.0,0,43.0,Básico,19.9,47,22,,5.0,Filmes,0.0,Credito,Desktop,1
CLI_000094,60.0,Masculino,,0.0,0,7.0,Básico,19.9,67,39,4.2,4.7,Novelas,2.0,Boleto,Tablet,0
CLI_000095,56.0,Feminino,,0.0,0,5.0,Básico,19.9,97,65,,4.0,Séries,2.0,Credito,TV,1
CLI_000096,57.0,Feminino,1.0,0.0,0,42.0,Padrão,29.9,47,73,4.5,2.8,Filmes,4.0,Boleto,Tablet,0
CLI_000097,30.0,Feminino,1.0,0.0,0,23.0,Premium,39.9,46,106,3.7,4.3,Séries,4.0,Boleto,tv,0
CLI_000098,26.0,Masculino,1.0,1.0,0,30.0,Básico,19.9,20,77,0.3,3.8,Esportivos,0.0,Credito,TV,1
CLI_000099,48.0,Masculino,1.0,0.0,0,27.0,Básico,19.9,62,114,2.1,2.9,Filmes,1.0,Boleto,TV,1
CLI_000100,54.0,Masculino,1.0,0.0,0,53.0,Básico,19.9,99,181,0.1,4.9,Filmes,7.0,PIX,mobile,0
CLI_000101,64.0,Feminino,1.0,0.0,0,42.0,Premium,39.9,2,146,2.1,3.6,Séries,0.0,Débito,TV,1
CLI_000102,42.0,Masculino,1.0,1.0,0,,Premium,39.9,67,62,2.9,3.9,Infantil,3.0,Boleto,mobile,0
CLI_000103,75.0,Masculino,1.0,1.0,0,38.0,Padrão,29.9,75,112,4.7,4.2,Filmes,7.0,Débito,mobile,0
CLI_000104,56.0,Feminino,,,0,9.0,Básico,19.9,59,107,3.9,3.1,Séries,3.0,Boleto,Mobile,0
CLI_000105,53.0,Feminino,0.0,0.0,0,27.0,Premium,39.9,82,105,4.1,3.2,Séries,2.0,Boleto,Desktop,0
CLI_000106,28.0,Feminino,1.0,,0,55.0,Básico,19.9,42,180,0.2,5.0,Filmes,0.0,PIX,Tablet,0
CLI_000107,27.0,Feminino,1.0,1.0,1,36.0,Básico,19.9,23,153,,4.2,Infantil,9.0,Boleto,Mobile,0
CLI_000108,62.0,Feminino,0.0,0.0,0,55.0,Básico,19.9,86,43,1.7,3.5,Documentários,3.0,Credito,TV,0
CLI_000109,45.0,Feminino,1.0,0.0,1,28.0,Padrão,29.9,4,161,4.4,2.0,Filmes,8.0,Cartão de Crédito,TV,0
CLI_000110,51.0,Feminino,1.0,1.0,0,22.0,Padrão,29.9,7,185,4.0,2.1,Filmes,5.0,Cartão de Crédito,mobile,0
CLI_000111,55.0,Masculino,1.0,1.0,1,17.0,Padrão,29.9,99,123,1.4,4.1,Séries,1.0,Cartão de Crédito,Desktop,0
CLI_000112,63.0,Feminino,1.0,1.0,0,56.0,Premium,39.9,47,127,0.5,3.3,Séries,4.0,Credito,Desktop,0
CLI_000113,53.0,Masculino,0.0,0.0,0,45.0,Básico,19.9,27,89,3.6,3.9,Séries,4.0,Credito,Desktop,1
CLI_000114,21.0,Masculino,0.0,1.0,0,31.0,Padrão,29.9,20,58,0.7,3.6,Documentários,5.0,PIX,Mobile,0
CLI_000115,46.0,Masculino,1.0,0.0,0,24.0,Básico,19.9,16,154,1.5,4.3,Esportivos,5.0,Boleto,tv,0
CLI_000116,73.0,Masculino,,,0,59.0,Básico,19.9,78,187,2.2,4.1,Séries,9.0,Boleto,mobile,1
CLI_000117,54.0,Feminino,0.0,1.0,0,33.0,Básico,19.9,46,142,4.1,5.0,Séries,6.0,PIX,Desktop,1
CLI_000118,50.0,Masculino,1.0,0.0,0,30.0,Premium,39.9,6,139,4.4,3.7,Esportivos,4.0,Boleto,Desktop,0
CLI_000119,58.0,Feminino,,1.0,0,21.0,Premium,39.9,84,119,3.5,3.1,Novelas,1.0,Credito,mobile,0
CLI_000120,44.0,Feminino,1.0,1.0,0,56.0,Básico,19.9,36,75,0.6,3.3,Filmes,5.0,Cartão de Crédito,tv,1
CLI_000121,46.0,Masculino,0.0,0.0,0,46.0,Básico,19.9,34,80,,3.4,Novelas,6.0,Cartão de Crédito,Mobile,1
CLI_000122,63.0,Feminino,0.0,0.0,0,,Básico,19.9,80,83,4.7,2.8,Séries,1.0,PIX,Mobile,1
CLI_000123,76.0,Feminino,1.0,0.0,0,52.0,Básico,19.9,88,66,0.1,3.4,Filmes,0.0,Credito,Mobile,0
CLI_000124,55.0,Masculino,1.0,1.0,0,,Básico,19.9,88,40,2.3,3.8,Séries,1.0,Credito,TV,0
CLI_000125,20.0,Masculino,1.0,0.0,1,58.0,Básico,19.9,20,151,4.0,3.3,Novelas,2.0,Credito,tv,0
CLI_000126,36.0,Masculino,1.0,,0,32.0,Básico,19.9,62,52,4.5,3.7,Séries,1.0,Credito,Desktop,0
CLI_000127,69.0,Feminino,0.0,0.0,1,12.0,Padrão,29.9,14,177,3.4,1.1,Séries,1.0,Boleto,Desktop,0
CLI_000128,62.0,Masculino,0.0,0.0,0,33.0,Básico,19.9,13,24,4.9,3.7,Séries,7.0,Credito,Tablet,0
CLI_000129,71.0,Feminino,1.0,,0,51.0,Padrão,29.9,73,14,1.5,2.7,Infantil,3.0,Débito,Mobile,0
CLI_000130,27.0,Masculino,1.0,1.0,0,16.0,Básico,19.9,22,52,4.9,4.4,Filmes,4.0,Boleto,mobile,0
CLI_000131,,Masculino,1.0,1.0,0,29.0,Padrão,29.9,15,135,4.9,2.9,Documentários,8.0,Cartão de Crédito,Mobile,0
CLI_000132,75.0,Masculino,1.0,1.0,0,38.0,Padrão,29.9,42,92,,4.7,Séries,7.0,Credito,mobile,0
CLI_000133,61.0,Masculino,1.0,0.0,0,49.0,Padrão,29.9,19,102,2.5,2.6,Séries,5.0,Cartão de Crédito,TV,0
CLI_000134,,Feminino,1.0,0.0,0,18.0,Básico,19.9,91,13,4.6,1.7,Séries,,Cartão de Crédito,tv,0
CLI_000135,32.0,Masculino,0.0,0.0,0,58.0,Básico,19.9,67,149,1.0,3.5,Filmes,5.0,Cartão de Crédito,Tablet,0
CLI_000136,28.0,Masculino,1.0,1.0,0,13.0,Premium,39.9,85,115,0.2,4.3,Novelas,5.0,PIX,Desktop,0
CLI_000137,47.0,Feminino,1.0,0.0,0,60.0,Básico,19.9,35,67,,3.6,Séries,,Boleto,mobile,0
CLI_000138,74.0,Masculino,1.0,0.0,0,,Básico,19.9,99,167,3.6,5.0,Séries,2.0,Boleto,Mobile,0
CLI_000139,52.0,Feminino,1.0,0.0,0,2.0,Premium,39.9,96,166,,,Séries,0.0,Boleto,Mobile,1
CLI_000140,63.0,Masculino,0.0,0.0,1,30.0,Básico,19.9,61,156,4.6,4.3,Filmes,1.0,Cartão de Crédito,Desktop,0
CLI_000141,37.0,Masculino,0.0,0.0,0,59.0,Básico,19.9,70,31,3.2,4.6,Filmes,8.0,Boleto,Desktop,0
CLI_000142,20.0,Masculino,1.0,0.0,0,32.0,Básico,19.9,16,12,2.1,,Infantil,4.0,Débito,Desktop,1
CLI_000143,21.0,Feminino,,0.0,0,,Básico,19.9,67,156,0.5,2.7,Infantil,2.0,Boleto,tv,0
CLI_000144,,Masculino,,0.0,0,45.0,Básico,19.9,17,27,4.9,3.8,Séries,3.0,PIX,tv,0
CLI_000145,19.0,Masculino,1.0,0.0,0,32.0,Básico,19.9,23,170,4.0,3.8,Filmes,,PIX,Mobile,0
CLI_000146,52.0,Masculino,1.0,0.0,0,32.0,Básico,19.9,64,69,2.8,2.6,Séries,3.0,Débito,Tablet,0
CLI_000147,21.0,Feminino,1.0,0.0,1,51.0,Padrão,29.9,78,34,3.8,2.3,Documentários,5.0,Boleto,tv,0
CLI_000148,39.0,Feminino,1.0,1.0,0,53.0,Premium,39.9,18,112,2.8,4.2,Filmes,1.0,Cartão de Crédito,Mobile,0
CLI_000149,29.0,Masculino,,0.0,0,4.0,Padrão,29.9,41,143,4.6,4.2,Filmes,4.0,Cartão de Crédito,Mobile,0
CLI_000150,70.0,Feminino,1.0,1.0,1,26.0,Básico,19.9,83,75,0.9,3.3,Novelas,0.0,Credito,mobile,1
CLI_000151,49.0,Masculino,,1.0,0,17.0,Padrão,29.9,34,80,4.2,4.0,Séries,7.0,PIX,tv,1
CLI_000152,46.0,Masculino,1.0,1.0,0,54.0,Básico,19.9,65,70,0.2,4.4,Filmes,0.0,Cartão de Crédito,Tablet,1
CLI_000153,23.0,Masculino,1.0,,0,44.0,Básico,19.9,53,116,3.2,5.0,Filmes,5.0,PIX,Mobile,0
CLI_000154,45.0,Masculino,1.0,1.0,0,24.0,Básico,19.9,4,134,,4.4,Filmes,4.0,Cartão de Crédito,tv,1
CLI_000155,30.0,Feminino,0.0,0.0,0,15.0,Padrão,29.9,71,166,1.8,3.9,Séries,3.0,Cartão de Crédito,Desktop,0
CLI_000156,44.0,Feminino,1.0,0.0,0,50.0,Básico,19.9,76,55,3.8,2.5,Séries,4.0,PIX,Desktop,0
CLI_000157,48.0,Feminino,1.0,0.0,0,58.0,Premium,39.9,1,158,0.3,2.8,Filmes,3.0,Boleto,Tablet,0
CLI_000158,40.0,Feminino,0.0,1.0,0,35.0,Padrão,29.9,74,30,4.5,2.3,Documentários,0.0,PIX,mobile,0
CLI_000159,22.0,Feminino,1.0,1.0,0,54.0,Básico,19.9,26,97,2.6,3.7,Novelas,9.0,Credito,Tablet,0
CLI_000160,23.0,Masculino,1.0,,0,41.0,Padrão,29.9,39,116,,2.9,Infantil,9.0,PIX,mobile,0
CLI_000161,64.0,Masculino,1.0,1.0,0,54.0,Básico,19.9,28,104,0.2,4.9,Infantil,2.0,PIX,TV,1
CLI_000162,67.0,Masculino,1.0,0.0,0,28.0,Básico,19.9,70,11,1.1,3.8,Séries,5.0,Credito,mobile,0
CLI_000163,57.0,Masculino,,0.0,0,53.0,Básico,19.9,69,142,4.0,5.0,Séries,4.0,Débito,tv,0
CLI_000164,27.0,Masculino,1.0,1.0,0,45.0,Premium,39.9,38,153,1.6,3.4,Novelas,4.0,Débito,mobile,0
CLI_000165,49.0,Masculino,1.0,0.0,0,36.0,Premium,39.9,40,173,1.0,3.4,Novelas,0.0,PIX,Desktop,0
CLI_000166,59.0,Masculino,0.0,0.0,0,3.0,Padrão,29.9,78,70,,4.1,Filmes,8.0,Boleto,Desktop,0
CLI_000167,74.0,Masculino,,0.0,0,49.0,Básico,19.9,34,98,3.4,4.1,Séries,2.0,PIX,Mobile,0
CLI_000168,34.0,Feminino,1.0,0.0,0,34.0,Básico,19.9,83,31,3.2,,Novelas,3.0,Cartão de Crédito,mobile,1
CLI_000169,21.0,Feminino,1.0,0.0,0,10.0,Básico,19.9,94,146,3.1,1.9,Séries,0.0,PIX,mobile,1
CLI_000170,28.0,Feminino,1.0,0.0,0,22.0,Premium,39.9,21,121,1.7,3.8,Séries,3.0,Cartão de Crédito,tv,0
CLI_000171,69.0,Masculino,,0.0,0,31.0,Padrão,29.9,76,148,4.0,2.9,Infantil,2.0,Débito,Tablet,1
CLI_000172,45.0,Masculino,,0.0,0,26.0,Padrão,29.9,25,26,4.6,2.1,Infantil,3.0,Credito,TV,0
CLI_000173,56.0,Feminino,,0.0,0,52.0,Padrão,29.9,52,133,1.7,3.7,Infantil,0.0,Cartão de Crédito,Desktop,0
CLI_000174,54.0,Feminino,1.0,0.0,0,51.0,Padrão,29.9,81,99,0.1,3.8,Filmes,4.0,Credito,Tablet,0
CLI_000175,76.0,Masculino,1.0,0.0,0,2.0,Padrão,29.9,13,155,3.7,3.3,Filmes,1.0,PIX,Mobile,0
CLI_000176,69.0,Feminino,1.0,0.0,0,4.0,Básico,19.9,86,65,4.1,3.4,Esportivos,8.0,Cartão de Crédito,Tablet,0
CLI_000177,49.0,Feminino,1.0,1.0,0,41.0,Básico,19.9,13,55,,2.7,Filmes,2.0,Débito,Mobile,0
CLI_000178,42.0,Masculino,1.0,,0,53.0,Premium,39.9,61,23,2.5,3.3,Novelas,3.0,Boleto,tv,0
CLI_000179,20.0,Feminino,0.0,0.0,0,21.0,Básico,19.9,7,165,1.8,4.3,Infantil,5.0,Credito,Tablet,1
CLI_000180,71.0,Feminino,1.0,0.0,0,5.0,Padrão,29.9,22,37,1.8,2.7,Séries,7.0,Credito,TV,1
CLI_000181,34.0,Masculino,1.0,1.0,0,15.0,Padrão,29.9,22,72,3.5,3.4,Esportivos,8.0,Débito,tv,0
CLI_000182,60.0,Masculino,1.0,0.0,0,57.0,Padrão,29.9,85,24,0.3,2.9,Documentários,1.0,Débito,Desktop,0
CLI_000183,32.0,Masculino,0.0,1.0,0,56.0,Básico,19.9,15,152,4.3,3.2,Filmes,6.0,Boleto,Desktop,1
CLI_000184,71.0,Feminino,0.0,1.0,0,16.0,Básico,19.9,89,18,4.6,2.1,Documentários,8.0,Boleto,mobile,0
CLI_000185,63.0,Feminino,1.0,0.0,0,40.0,Básico,19.9,4,153,3.6,3.7,Séries,3.0,PIX,tv,0
CLI_000186,20.0,Feminino,1.0,0.0,0,20.0,Padrão,29.9,53,186,3.2,3.7,Filmes,3.0,Boleto,Desktop,0
CLI_000187,32.0,Masculino,0.0,1.0,0,22.0,Premium,39.9,35,142,2.0,,Filmes,9.0,Débito,tv,0
CLI_000188,73.0,Masculino,1.0,0.0,1,32.0,Básico,19.9,35,180,2.7,,Filmes,6.0,PIX,tv,0
CLI_000189,76.0,Feminino,1.0,0.0,0,,Básico,19.9,88,154,0.6,3.5,Filmes,0.0,Cartão de Crédito,Tablet,1
CLI_000190,23.0,Masculino,1.0,0.0,0,57.0,Premium,39.9,32,37,4.1,4.1,Séries,5.0,Débito,Desktop,1
CLI_000191,33.0,Feminino,1.0,,0,33.0,Básico,19.9,78,156,4.5,3.1,Séries,3.0,PIX,mobile,0
CLI_000192,76.0,Feminino,,1.0,0,28.0,Premium,39.9,84,173,0.8,2.9,Novelas,,PIX,TV,0
CLI_000193,56.0,Feminino,0.0,0.0,1,57.0,Básico,19.9,11,143,3.3,3.0,Séries,1.0,Credito,TV,0
CLI_000194,52.0,Feminino,,0.0,0,3.0,Premium,39.9,84,116,3.2,4.1,Séries,5.0,Cartão de Crédito,Mobile,1
CLI_000195,25.0,Masculino,1.0,0.0,0,,Básico,19.9,57,138,0.6,3.2,Séries,5.0,PIX,Desktop,1
CLI_000196,55.0,Feminino,1.0,0.0,0,20.0,Básico,19.9,67,128,3.2,2.9,Filmes,4.0,Credito,TV,0
CLI_000197,46.0,Feminino,1.0,0.0,0,55.0,Básico,19.9,95,73,0.6,2.9,Novelas,4.0,PIX,TV,1
CLI_000198,45.0,Masculino,0.0,0.0,0,50.0,Premium,39.9,33,43,,5.0,Séries,6.0,Cartão de Crédito,TV,1
